"Name","Synset State","Custom?","Leaf?","Definition","Parents","Children","Tasks","Direct Categories","Direct Objects","Total Objects","Requiring Task Count"
"cooler.n.01","Ready","False","True","a refrigerator for cooling liquids","refrigerator.n.01,","","buy_natural_beef-0,                         pack_for_the_pool-0,                         unpacking_recreational_vehicle_for_trip-0,","cooler,                         open_air_cooler,","2","2","3"
"copper_pot.n.01","Ready","True","True","","pot.n.01,","","polish_copper-0,","copper_pot,","1","1","1"
"copper_wire.n.01","Ready","True","True","","wire.n.02,","","clean_copper_wire-0,","copper_wire,","1","1","1"
"coriander.n.02","Substance","False","True","dried coriander seeds used whole or ground","flavorer.n.01,","","cook_kabobs-0,","coriander,","1","1","1"
"coriander__shaker.n.01","Ready","True","True","","container.n.01,","","cook_kabobs-0,","coriander_shaker,","1","1","1"
"cork.n.04","Ready","False","True","the plug in the mouth of a bottle (especially a wine bottle)","plug.n.01,","","bottling_wine-0,","cork,","1","1","1"
"corkscrew.n.01","Ready","False","True","a bottle opener that pulls corks","bottle_opener.n.01,","","setup_a_bar_for_a_cocktail_party-0,","corkscrew,","1","1","1"
"cornet.n.01","Ready","False","True","a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves","brass.n.02,","","clean_a_trumpet-0,","trumpet,","1","1","1"
"cornstarch.n.01","Substance","False","True","starch prepared from the grains of corn; used in cooking as a thickener","starch.n.01,","","clean_copper_wire-0,                         make_cake_filling-0,","cornstarch,","1","1","2"
"cornstarch__jar.n.01","Ready","True","True","","vessel.n.03,","","clean_copper_wire-0,                         make_cake_filling-0,","cornstarch_jar,","1","1","2"
"countertop.n.01","Ready","False","True","the top side of a counter","tabletop.n.01,","","baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         bottling_wine-0,                         brewing_coffee-0,                         buy_and_clean_mussels-0,                         can_beans-0,                         can_fruit-0,                         can_meat-0,                         can_vegetables-0,                         canning_food-0,                       ...","countertop,","10","10","305"
"crab.n.05","Ready","False","True","the edible flesh of any of various crabs","shellfish.n.01,","","clean_a_crab-0,                         cook_a_crab-0,","crab,","4","4","2"
"cracker.n.01","Ready","False","False","a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet","bread.n.01,","pretzel.n.01,","prepare_wine_and_cheese-0,                         serving_hors_d_oeuvres-0,","","0","1","2"
"crayon.n.01","Ready","False","True","writing implement consisting of a colored stick of composition wax used for writing and drawing","writing_implement.n.01,","","buy_school_supplies-0,                         clean_your_pencil_case-0,                         unpacking_childs_bag-0,","crayon,","12","12","3"
"cream__carton.n.01","Ready","True","True","","box.n.01,","","make_cream_soda-0,                         make_white_wine_sauce-0,","cream_carton,","1","1","2"
"cream_cheese.n.01","Substance","False","True","soft unripened cheese made of sweet milk and cream","cheese.n.01,","","make_a_cheese_pastry-0,                         make_macaroni_and_cheese-0,","cream_cheese,","0","0","2"
"cream_cheese__box.n.01","Ready","True","True","","container.n.01,","","make_macaroni_and_cheese-0,","cream_cheese_box,","1","1","1"
"cream_of_tartar.n.01","Substance","False","True","a salt used especially in baking powder","salt.n.01,","","make_blueberry_mousse-0,","cream_of_tartar,","1","1","1"
"cream_of_tartar__shaker.n.01","Ready","True","True","","container.n.01,","","make_blueberry_mousse-0,","cream_of_tartar_shaker,","1","1","1"
"cream_soda.n.01","Substance","False","True","sweet carbonated drink flavored with vanilla","soft_drink.n.01,","","make_cream_soda-0,","cream_soda,","0","0","1"
"credit_card.n.01","Ready","False","True","a card (usually plastic) that assures a seller that the person using it has a satisfactory credit rating and that the issuer will see to it that the seller receives payment for the merchandise delivered","open-end_credit.n.01,                         positive_identification.n.01,","","buy_a_keg-0,                         buy_home_use_medical_supplies-0,                         buying_everyday_consumer_goods-0,                         buying_fast_food-0,                         buying_office_supplies-0,","credit_card,","1","1","5"
"crescent_roll.n.01","Ready","False","True","very rich flaky crescent-shaped roll","bun.n.01,","","packing_picnic_food_into_car-0,","croissant,","2","2","1"
"crib.n.01","Ready","False","True","baby bed with high sides made of slats","baby_bed.n.01,","","setup_a_baby_crib-0,","crib,","1","1","1"
"crock_pot.n.01","Ready","False","True","an electric cooker that maintains a relatively low temperature","cooker.n.01,","","clean_kitchen_appliances-0,                         cook_rice-0,                         make_tomato_rice-0,                         preparing_food_for_company-0,","crock_pot,                         instant_pot,                         oden_cooker,","5","5","4"
"crouton.n.01","Substance","False","True","a small piece of toasted or fried bread; served in soup or salads","bread.n.01,","","make_a_salad-0,","crouton,","1","1","1"
"crumb.n.03","Substance","False","False","small piece of e.g. bread or cake","morsel.n.02,","breadcrumb.n.01,                         cooked__breadcrumb.n.01,","clean_a_baking_stone-0,                         clean_a_kitchen_sink-0,                         clean_a_kitchen_table-0,                         clean_a_pizza_stone-0,                         clean_a_toaster-0,                         clean_a_toaster_oven-0,                         clean_kitchen_appliances-0,                         clearing_table_after_supper-0,                         mopping_the_kitchen_floor-0,                         shampooing_carpet-0,                       ...","","0","3","11"
"cucumber.n.02","Ready","False","True","cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons","vegetable.n.01,","","make_a_salad-0,                         make_spa_water-0,","cucumber,","1","1","2"
"cumin.n.02","Substance","False","True","aromatic seeds of the cumin herb of the carrot family","edible_seed.n.01,","","make_chicken_fajitas-0,                         make_mustard_herb_and_spice_seasoning-0,","cumin,","1","1","2"
"cumin__shaker.n.01","Ready","True","True","","container.n.01,","","make_chicken_fajitas-0,                         make_mustard_herb_and_spice_seasoning-0,","cumin_shaker,","1","1","2"
"cup.n.01","Ready","False","False","a small open container usually used for drinking; usually has a handle","container.n.01,                         crockery.n.01,","beaker.n.02,                         coffee_cup.n.01,                         dixie_cup.n.01,                         teacup.n.02,","clean_cork_mats-0,                         clean_dentures_with_vinegar-0,                         clean_your_house_after_a_wild_party-0,                         cleaning_kitchen_cupboard-0,                         cleaning_up_after_a_meal-0,                         cleaning_up_after_an_event-0,                         clearing_the_table_after_dinner-0,                         cook_seafood_paella-0,                         make_a_blended_iced_cappuccino-0,                         make_a_frappe-0,                       ...","","0","37","25"
"cup__of__yogurt.n.01","Ready","True","True","","grocery.n.02,","","cleaning_debris_out_of_car-0,                         putting_shopping_away-0,                         unloading_groceries-0,","cup_of_yogurt,","1","1","3"
"cup_holder.n.01","Ready","True","True","","holder.n.01,","","clean_cup_holders-0,","cup_holder,","1","1","1"
"cupcake.n.01","Ready","False","True","small cake baked in a muffin tin","cake.n.03,","","make_a_bake_sale_stand_stall-0,                         packing_picnic_into_car-0,","cupcake,","8","8","2"
"curry_powder.n.01","Substance","False","True","pungent blend of cumin and ground coriander seed and turmeric and other spices","flavorer.n.01,","","make_chicken_curry-0,                         make_curry_rice-0,","curry_powder,","1","1","2"
"curry_powder__shaker.n.01","Ready","True","True","","container.n.01,","","make_chicken_curry-0,                         make_curry_rice-0,","curry_powder_shaker,","1","1","2"
"curtain.n.01","Ready","False","True","hanging cloth used as a blind (especially for a window)","blind.n.03,                         furnishing.n.02,","","cleaning_up_after_an_event-0,                         drape_window_scarves-0,                         hanging_up_curtains-0,                         iron_curtains-0,                         ironing_curtains-0,                         taking_down_curtains-0,                         washing_curtains-0,","curtain,","8","8","7"
"curtain_rod.n.01","Ready","True","True","","rod.n.01,","","drape_window_scarves-0,                         hanging_blinds-0,                         hanging_shades-0,                         hanging_up_curtains-0,                         taking_down_curtains-0,","curtain_rod,","1","1","5"
"cymbal.n.01","Ready","False","True","a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together","percussion_instrument.n.01,","","polish_cymbals-0,","cymbal,","2","2","1"
"daffodil_bulb.n.01","Ready","True","True","","bulb.n.01,","","store_daffodil_bulbs-0,","daffodil_bulb,","1","1","1"
"danish.n.02","Ready","False","True","light sweet yeast-raised roll usually filled with fruits or cheese","sweet_roll.n.01,","","prepare_a_breakfast_bar-0,","cheese_danish,","1","1","1"
"dart.n.01","Ready","False","True","a small narrow pointed missile that is thrown or shot","projectile.n.01,","","hang_a_dartboard-0,","dart,","1","1","1"
"dartboard.n.01","Ready","False","True","a circular board of wood or cork used as the target in the game of darts","board.n.09,","","hang_a_dartboard-0,","dartboard,","1","1","1"
"date.n.08","Ready","False","True","sweet edible fruit of the date palm with a single long woody seed","edible_fruit.n.01,","","thawing_frozen_food-0,","date,","3","3","1"
"debris.n.01","Substance","False","True","the remains of something that has been destroyed or broken up","rubbish.n.01,","","clean_a_trombone-0,                         clean_a_vacuum-0,                         sweeping_steps-0,","debris,","9","9","3"
"deep-freeze.n.02","Ready","True","True","","refrigerator.n.01,","","make_ice-0,                         make_popsicles-0,","freezer,","3","3","2"
"dehumidifier.n.01","Ready","True","True","","appliance.n.02,","","clean_up_water_damage-0,","dehumidifier,","1","1","1"
"denture.n.01","Ready","False","True","a dental appliance that artificially replaces missing teeth","dental_appliance.n.01,","","clean_dentures-0,                         clean_dentures_with_vinegar-0,","denture,","1","1","2"
"deodorant__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","sorting_household_items-0,                         tidying_bathroom-0,","deodorant_atomizer,","1","1","2"
"desk.n.01","Ready","False","True","a piece of furniture with a writing surface and usually drawers or other compartments","table.n.02,","","assembling_furniture-0,                         clean_a_company_office-0,                         clean_a_whiteboard-0,                         clean_an_eraser-0,                         clean_up_your_desk-0,                         clean_your_electronics-0,                         clean_your_pencil_case-0,                         cleaning_computer-0,                         getting_organized_for_work-0,                         getting_package_from_post_office-0,                       ...","desk,","46","46","26"
"desktop_computer.n.01","Ready","False","True","a personal computer small enough to fit conveniently in an individual workspace","personal_computer.n.01,","","cleaning_computer-0,                         picking_up_prescriptions-0,                         set_up_a_webcam-0,","desktop_computer,","2","2","3"
"detergent.n.02","Substance","False","True","a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension","cleansing_agent.n.01,","","clean_a_backpack-0,                         clean_a_chicken_coop-0,                         clean_a_dirty_tent-0,                         clean_a_faucet-0,                         clean_a_gravestone-0,                         clean_a_hamper-0,                         clean_a_mattress-0,                         clean_a_quilt-0,                         clean_a_raincoat-0,                         clean_a_sauna_suit-0,                       ...","detergent,","0","0","58"
"detergent__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","clean_a_toaster_oven-0,","detergent_atomizer,","1","1","1"
"detergent__bottle.n.01","Ready","True","True","","vessel.n.03,","","clean_a_backpack-0,                         clean_a_chicken_coop-0,                         clean_a_dirty_tent-0,                         clean_a_faucet-0,                         clean_a_gravestone-0,                         clean_a_hamper-0,                         clean_a_mattress-0,                         clean_a_quilt-0,                         clean_a_raincoat-0,                         clean_a_sauna_suit-0,                       ...","detergent_bottle,","1","1","57"
"diamond.n.01","Ready","False","True","a transparent piece of diamond that has been cut and polished and is valued as a precious gem","jewel.n.01,","","clean_jewels-0,","diamond,","1","1","1"
"diaper.n.01","Ready","False","True","garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement","garment.n.01,","","store_baby_clothes-0,","diaper,","1","1","1"
"diced__apple.n.01","Substance","True","True","","edible_fruit.n.01,                         pome.n.01,","","make_homemade_bird_food-0,","diced__apple,","1","1","1"
"diced__avocado.n.01","Substance","True","True","","edible_fruit.n.01,","","make_a_salad-0,                         make_nachos-0,","diced__avocado,","1","1","2"
"diced__beefsteak_tomato.n.01","Substance","True","True","","tomato.n.01,","","cooking_lunch-0,                         make_burrito_bowls-0,                         make_nachos-0,                         making_a_snack-0,","diced__beefsteak_tomato,","1","1","4"
"diced__beet.n.01","Substance","True","True","","root_vegetable.n.01,","","slicing_vegetables-0,","diced__beet,","1","1","1"
"diced__bell_pepper.n.01","Substance","True","True","","sweet_pepper.n.02,","","slicing_vegetables-0,","diced__bell_pepper,","1","1","1"
"diced__carrot.n.01","Substance","True","True","","root_vegetable.n.01,","","preserving_vegetables-0,","diced__carrot,","1","1","1"
"diced__cheddar.n.01","Substance","True","True","","cheese.n.01,","","prepare_wine_and_cheese-0,                         set_a_table_for_a_tea_party-0,","diced__cheddar,","1","1","2"
"diced__chicken.n.01","Substance","True","True","","poultry.n.02,","","preserving_meat-0,","diced__chicken,","1","1","1"
"diced__chili.n.01","Substance","True","True","","hot_pepper.n.02,","","filling_pepper-0,                         make_fried_rice-0,                         make_tacos-0,","diced__chili,","1","1","3"
"diced__clove.n.01","Substance","True","True","","garlic.n.02,","","cook_bok_choy-0,                         cook_chicken-0,                         cook_green_beans-0,                         prepare_and_cook_swiss_chard-0,","diced__clove,","1","1","4"
"diced__cucumber.n.01","Substance","True","True","","vegetable.n.01,","","make_a_salad-0,                         make_spa_water-0,                         set_a_table_for_a_tea_party-0,","diced__cucumber,","1","1","3"
"diced__feta.n.01","Substance","True","True","","cheese.n.01,","","prepare_wine_and_cheese-0,","diced__feta,","1","1","1"
"diced__green_onion.n.01","Substance","True","True","","onion.n.03,","","make_nachos-0,","diced__green_onion,","3","3","1"
"diced__kiwi.n.01","Substance","True","True","","edible_fruit.n.01,","","make_a_tropical_breakfast-0,","diced__kiwi,","1","1","1"
"diced__lemon.n.01","Substance","True","True","","citrus.n.01,","","cook_fish-0,","diced__lemon,","1","1","1"
"diced__lettuce.n.01","Substance","True","True","","salad_green.n.01,","","make_a_salad-0,","diced__lettuce,","1","1","1"
"diced__mango.n.01","Substance","True","True","","edible_fruit.n.01,","","make_a_tropical_breakfast-0,","diced__mango,","1","1","1"
"diced__pineapple.n.01","Substance","True","True","","edible_fruit.n.01,","","canning_food-0,","diced__pineapple,","1","1","1"
"diced__potato.n.01","Substance","True","True","","root_vegetable.n.01,                         solanaceous_vegetable.n.01,                         starches.n.01,","","preparing_food_for_adult-0,","diced__potato,","1","1","1"
"diced__spinach.n.01","Substance","True","True","","greens.n.01,","","make_a_salad-0,","diced__spinach,","1","1","1"
"diced__steak.n.01","Substance","True","True","","cut.n.06,","","canning_food-0,","","0","0","1"
"diced__vidalia_onion.n.01","Substance","True","True","","onion.n.03,","","chop_an_onion-0,                         make_tacos-0,                         set_up_a_hot_dog_bar-0,","diced__vidalia_onion,","1","1","3"
"diced__virginia_ham.n.01","Substance","True","True","","ham.n.01,","","set_a_table_for_a_tea_party-0,","diced__virginia_ham,","1","1","1"
"diced__watermelon.n.01","Substance","True","True","","melon.n.01,","","setup_a_garden_party-0,","diced__watermelon,","1","1","1"
"diced__zucchini.n.01","Substance","True","True","","summer_squash.n.02,","","slicing_vegetables-0,","diced__zucchini,","1","1","1"
"die.n.01","Ready","False","True","a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers","cube.n.05,","","collecting_childrens_toys-0,                         setting_up_room_for_games-0,","dice,","3","3","2"
"digital_camera.n.01","Ready","False","True","a camera that encodes an image digitally and store it for later reproduction","camera.n.01,","","attach_a_camera_to_a_tripod-0,                         clean_a_camera_lens-0,","digital_camera,","4","4","2"
"dinner_napkin.n.01","Ready","False","True","a large napkin used when dinner is served","napkin.n.01,","","cleaning_out_drawers-0,                         cleaning_restaurant_table-0,                         clearing_table_after_snacks-0,                         laying_restaurant_table_for_dinner-0,","dinner_napkin,","5","5","4"
"dip.n.07","Ready","False","True","a candle that is made by repeated dipping in a pool of wax or tallow","candle.n.01,","","decorating_for_religious_ceremony-0,                         set_a_fancy_table-0,","dip_candle,","4","4","2"
"dirt.n.02","Substance","False","True","the state of being covered with unclean things","dirtiness.n.01,","","clean_a_bicycle_chain-0,                         clean_a_softball_bat-0,                         clean_a_suitcase-0,                         clean_a_watch-0,                         clean_apples-0,                         clean_bok_choy-0,                         clean_cabbage-0,                         clean_cement-0,                         clean_green_beans-0,                         clean_greens-0,                       ...","dirt,","9","9","29"
"dish_rack.n.01","Ready","False","True","a rack for holding dishes as dishwater drains off of them","rack.n.01,","","clean_a_broiler_pan-0,","dish_rack,","2","2","1"
"dishtowel.n.01","Ready","False","True","a towel for drying dishes","towel.n.01,","","clean_a_leather_belt-0,                         clean_whiskey_stones-0,                         cleaning_stove-0,                         cleaning_table_after_clearing-0,                         drying_dishes-0,                         drying_table-0,                         folding_clean_laundry-0,                         stock_a_bar_cart-0,                         washing_plates-0,","dishtowel,","5","5","9"
"dishwasher.n.01","Ready","False","True","a machine for washing dishes","white_goods.n.01,","","clean_a_stainless_steel_dishwasher-0,                         clean_copper_mugs-0,                         clean_your_house_after_a_wild_party-0,                         cleaning_up_after_a_meal-0,                         cleaning_up_after_an_event-0,                         clearing_table_after_coffee-0,                         clearing_table_after_supper-0,                         drying_dishes-0,                         loading_the_dishwasher-0,                         rinsing_dishes-0,                       ...","dishwasher,","8","8","13"
"disinfectant.n.01","Substance","False","True","an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease","agent.n.03,","","adding_chemicals_to_pool-0,                         bringing_in_kindling-0,                         buy_fish-0,                         clean_a_baseball_glove-0,                         clean_a_beer_keg-0,                         clean_a_birdcage-0,                         clean_a_camera_lens-0,                         clean_a_dirty_baseball-0,                         clean_a_flat_iron-0,                         clean_a_garden_sprayer-0,                       ...","disinfectant,","0","0","27"
"disinfectant__bottle.n.01","Ready","True","True","","vessel.n.03,","","adding_chemicals_to_pool-0,                         clean_a_baseball_glove-0,                         clean_a_beer_keg-0,                         clean_a_birdcage-0,                         clean_a_camera_lens-0,                         clean_a_dirty_baseball-0,                         clean_a_flat_iron-0,                         clean_a_garden_sprayer-0,                         clean_a_vacuum-0,                         clean_an_air_filter-0,                       ...","disinfectant_bottle,","1","1","24"
"display_panel.n.01","Ready","False","True","a vertical surface on which information can be displayed to public view","display.n.06,","","clean_a_whiteboard-0,","whiteboard,","3","3","1"
"dixie_cup.n.01","Ready","False","True","a disposable cup made of paper; for holding drinks","cup.n.01,","","clean_the_interior_of_your_car-0,                         cleaning_stuff_out_of_car-0,                         tidy_your_garden-0,","paper_cup,                         soda_cup,","5","5","3"
"document.n.01","Ready","False","False","writing that provides information (especially information of an official nature)","writing.n.02,","commercial_document.n.01,                         legal_document.n.01,","organizing_file_cabinet-0,","","0","4","1"
"dog_collar.n.01","Ready","False","True","a collar for a dog","collar.n.06,","","clean_dog_collars-0,","dog_collar,","1","1","1"
"dog_food.n.01","Substance","False","True","food prepared for dogs","petfood.n.01,","","putting_out_dog_food-0,","dog_food,","4","4","1"
"dog_food__can.n.01","Ready","True","True","","container.n.01,","","putting_out_dog_food-0,","dog_food_can,","1","1","1"
"doily.n.01","Ready","False","True","a small round piece of linen placed under a dish or bowl","linen.n.03,","","store_vintage_linens-0,","doily,","1","1","1"
"doll.n.01","Ready","False","True","a small replica of a person; used as a toy","plaything.n.01,","","clean_marker_off_a_doll-0,                         make_dinosaur_goody_bags-0,                         make_gift_bags_for_baby_showers-0,                         setup_a_baby_crib-0,","doll,","1","1","4"
"door.n.01","Ready","False","True","a swinging or sliding barrier that will close the entrance to a room or building or vehicle","movable_barrier.n.01,","","bringing_glass_to_recycling-0,                         clean_the_exterior_of_your_garage-0,                         clean_wood_doors-0,                         clean_wood_siding-0,                         cleaning_carpets-0,                         cleaning_floors-0,                         cleaning_freezer-0,                         de_clutter_your_garage-0,                         delivering_groceries_to_doorstep-0,                         mopping_the_kitchen_floor-0,                       ...","door,","109","109","16"
"dress.n.01","Ready","False","True","a one-piece garment for a woman; has skirt and bodice","woman's_clothing.n.01,","","donating_clothing-0,                         folding_clothes-0,                         hanging_clothes-0,                         ironing_clothes-0,                         laying_clothes_out-0,                         organizing_volunteer_materials-0,                         picking_up_clothes-0,                         putting_clothes_into_closet-0,                         treating_spot-0,","dress,","2","2","9"
"drill.n.01","Ready","False","True","a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)","tool.n.01,","","cleaning_tools_and_equipment-0,                         outfit_a_basic_toolbox-0,","drill,                         power_drill,","2","2","2"
"drip_coffee.n.01","Substance","False","True","coffee made by passing boiling water through a perforated container packed with finely ground coffee","coffee.n.01,","","brewing_coffee-0,                         clean_cup_holders-0,                         clearing_table_after_coffee-0,                         make_coffee-0,                         make_instant_coffee-0,                         making_coffee-0,                         preparing_existing_coffee-0,","drip_coffee,","0","0","7"
"driveway.n.01","Ready","False","True","a road leading up to a private house","road.n.01,","","bringing_newspaper_in-0,                         carrying_in_groceries-0,                         carrying_out_garden_furniture-0,                         clean_a_garden_sprayer-0,                         clean_a_patio-0,                         clean_a_pickup_truck-0,                         clean_black_rims-0,                         clean_stucco-0,                         clean_the_interior_of_your_car-0,                         clean_the_outside_of_a_house-0,                       ...","driveway,","7","7","54"
"duck.n.03","Ready","False","True","flesh of a duck (domestic or wild)","poultry.n.02,","","cook_a_duck-0,","duck,","1","1","1"
"duffel_bag.n.01","Ready","False","True","a large cylindrical bag of heavy cloth; for carrying personal belongings","drawstring_bag.n.01,","","organizing_art_supplies-0,                         organizing_skating_stuff-0,                         pack_for_the_pool-0,                         pack_your_gym_bag-0,                         unpacking_hobby_equipment-0,","duffel_bag,","1","1","5"
"dumpling.n.01","Ready","False","True","small balls or strips of boiled or steamed dough","pasta.n.02,","","fry_pot_stickers-0,","dumpling,","1","1","1"
"dust.n.01","Substance","False","True","fine powdery material such as dry earth or pollen that can be blown about in the air","particulate.n.01,","","brushing_lint_off_clothing-0,                         clean_a_LED_screen-0,                         clean_a_air_conditioner-0,                         clean_a_backpack-0,                         clean_a_book-0,                         clean_a_bowling_ball-0,                         clean_a_box_fan-0,                         clean_a_company_office-0,                         clean_a_computer_monitor-0,                         clean_a_couch-0,                       ...","dust,","9","9","114"
"dustpan.n.02","Ready","False","True","a short-handled receptacle into which dust can be swept","receptacle.n.01,","","clean_up_broken_glass-0,                         cleaning_floors-0,                         cleaning_oven-0,                         defrosting_freezer-0,                         sweeping_floors-0,","dustpan,","1","1","5"
"dutch_oven.n.02","Ready","False","True","iron or earthenware cooking pot; used for stews","pot.n.01,","","cook_quail-0,","dutch_oven,","1","1","1"
"easter_egg.n.01","Ready","False","True","an egg-shaped candy used to celebrate Easter","candy.n.01,","","hiding_Easter_eggs-0,","easter_egg,","1","1","1"
"edible_cookie_dough.n.01","Ready","True","True","","dough.n.01,","","make_edible_chocolate_chip_cookie_dough-0,","edible_cookie_dough,","1","1","1"
"egg.n.02","Ready","False","True","oval reproductive body of a fowl (especially a hen) used as food","foodstuff.n.02,","","bag_groceries-0,                         buy_eggs-0,                         clean_eggs-0,                         hard_boil_an_egg-0,                         loading_shopping_into_car-0,                         prepare_a_filling_breakfast-0,                         prepare_make_ahead_breakfast_bowls-0,                         putting_food_in_fridge-0,                         unloading_groceries-0,","egg,","2","2","9"
"eggnog.n.01","Substance","False","True","a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor","punch.n.02,","","make_eggnog-0,","eggnog,","0","0","1"
"eggplant.n.01","Ready","False","True","egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow","solanaceous_vegetable.n.01,","","cook_eggplant-0,                         picking_fruit_and_vegetables-0,","eggplant,","3","3","2"
"electric_fan.n.01","Ready","False","True","a fan run by an electric motor","fan.n.01,","","clean_a_box_fan-0,                         cleaning_fan-0,","electric_fan,","2","2","2"
"electric_mixer.n.01","Ready","False","True","a food mixer powered by an electric motor","mixer.n.04,","","baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         make_a_cheese_pastry-0,                         make_a_sugar_and_coffee_scrub-0,                         make_a_tropical_breakfast-0,                         make_bagels-0,                         make_batter-0,                         make_biscuits-0,                         make_blueberry_mousse-0,                         make_brownies-0,                       ...","electric_hand_mixer,                         electric_mixer,","3","3","21"
"electric_refrigerator.n.01","Ready","False","True","a refrigerator in which the coolant is pumped around by an electric motor","refrigerator.n.01,","","baking_cookies_for_the_PTA_bake_sale-0,                         baking_sugar_cookies-0,                         bottling_wine-0,                         boxing_food_after_dinner-0,                         buy_and_clean_mussels-0,                         can_fruit-0,                         can_meat-0,                         canning_food-0,                         carrying_in_groceries-0,                         clean_a_lobster-0,                       ...","display_fridge,                         fridge,                         wine_fridge,","14","14","219"
"emery_paper.n.01","Ready","False","True","stiff paper coated with powdered emery or sand","abrasive.n.01,","","clean_the_bottom_of_an_iron-0,                         clean_your_rusty_garden_tools-0,                         remove_scorch_marks-0,                         repairs_to_furniture-0,                         sanding_wood_furniture-0,","emery_paper,","1","1","5"
"entire_leaf.n.01","Ready","False","True","a leaf having a smooth margin without notches or indentations","leaf.n.01,","","clean_decking-0,                         clean_the_interior_of_your_car-0,                         cleaning_the_yard-0,                         raking_leaves-0,                         sweeping_outside_entrance-0,                         sweeping_patio-0,","leaf,","9","9","6"
"envelope.n.01","Ready","False","True","a flat (usually rectangular) container for a letter, thin package, etc.","container.n.01,","","collecting_mail_from_the_letterbox-0,                         mailing_letters-0,                         sorting_mail-0,","envelope,","1","1","3"
"eraser.n.01","Ready","False","False","an implement used to erase something","implement.n.01,","blackboard_eraser.n.01,                         rubber_eraser.n.01,","buy_school_supplies-0,                         buying_office_supplies-0,                         clean_an_eraser-0,                         pack_a_pencil_case-0,","","0","2","4"
"erlenmeyer_flask.n.01","Ready","False","True","a conical flask with a wide base and narrow neck","flask.n.01,","","make_a_vinegar_cleaning_solution-0,","erlenmeyer_flask,","2","2","1"
"espresso.n.01","Substance","False","True","strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans","coffee.n.01,","","clean_an_espresso_machine-0,                         make_an_iced_espresso-0,                         setting_table_for_coffee-0,","espresso,","0","0","3"
"fabric_softener.n.01","Substance","True","True","","softener.n.01,","","adding_fabric_softener-0,","fabric_softener,","0","0","1"
"fabric_softener__bottle.n.01","Ready","True","True","","vessel.n.03,","","adding_fabric_softener-0,","fabric_softener_bottle,","1","1","1"
"face_mask.n.01","Ready","False","True","mask that provides a protective covering for the face in such sports as baseball or football or hockey","mask.n.04,","","packing_cleaning_suppies_into_car-0,","face_mask,","1","1","1"
"facsimile.n.02","Ready","False","True","duplicator that transmits the copy by wire or radio","duplicator.n.01,","","installing_a_fax_machine-0,","facsimile,","1","1","1"
"fairy_light.n.01","Planned","False","True","a small colored light used for decoration (especially at Christmas)","light.n.02,","","hang_icicle_lights-0,                         hanging_outdoor_lights-0,                         putting_up_Christmas_decorations_outside-0,                         putting_up_Christmas_lights_inside-0,                         putting_up_Christmas_lights_outside-0,                         putting_up_outdoor_holiday_decorations-0,                         store_christmas_lights-0,","fairy_light,","1","1","7"
"feather.n.01","Ready","False","True","the light horny waterproof structure forming the external covering of birds","animal_material.n.01,                         body_covering.n.01,","","clean_a_chicken_coop-0,                         clean_a_small_pet_cage-0,","feather,","1","1","2"
"fecal_matter.n.01","Substance","False","True","solid excretory product evacuated from the bowels","body_waste.n.01,","","clean_a_small_pet_cage-0,                         clean_out_a_guinea_pigs_hutch-0,                         clean_your_kitty_litter_box-0,","fecal_matter,","9","9","3"
"fertilizer.n.01","Substance","False","True","any substance such as manure or a mixture of nitrates used to make soil more fertile","chemical.n.01,","","adding_chemicals_to_lawn-0,                         fertilize_a_lawn-0,                         fertilize_plants-0,                         fertilizing_garden-0,                         make_a_small_vegetable_garden-0,","fertilizer,","0","0","5"
"fertilizer__atomizer.n.01","Ready","True","True","","dispenser.n.01,","","adding_chemicals_to_lawn-0,                         buying_gardening_supplies-0,                         fertilize_a_lawn-0,                         fertilizing_garden-0,                         make_a_small_vegetable_garden-0,","fertilizer_atomizer,","1","1","5"
"feta.n.01","Ready","True","True","","cheese.n.01,","","cook_eggplant-0,                         prepare_make_ahead_breakfast_bowls-0,                         prepare_wine_and_cheese-0,                         store_feta_cheese-0,","feta,","4","4","4"
"feta__box.n.01","Ready","True","True","","container.n.01,","","cook_eggplant-0,                         prepare_make_ahead_breakfast_bowls-0,","feta_box,","1","1","2"
"fire_alarm.n.02","Ready","False","True","an alarm that is tripped off by fire or smoke","alarm.n.02,","","installing_smoke_detectors-0,","fire_alarm,","6","6","1"
