"Name","Synset State","Custom?","Leaf?","Definition","Parents","Children","Properties","Used as Predicates","Tasks","Direct Categories","Direct Objects","Total Objects","Requiring Task Count"
"cappuccino.n.01","Substance","False","True","equal parts of espresso and hot milk topped with cinnamon and nutmeg and usually whipped cream","coffee.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","future,                        real,                        contains,","make_a_cappuccino-0,","cappuccino,","0","0","1"
"car.n.01","Ready","False","True","a motor vehicle with four wheels; usually propelled by an internal combustion engine","motor_vehicle.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         openable,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,                        attached,                        overlaid,                        covered,                        nextto,","loading_the_car-0,                         carrying_in_groceries-0,                         clean_the_interior_of_your_car-0,                         putting_on_license_plates-0,                         putting_on_tags_car-0,                         putting_backpack_in_car_for_school-0,                         packing_car_for_trip-0,                         de_ice_a_car-0,                         putting_on_registration_stickers-0,                         unpacking_car_for_trip-0,                       ...","car,","4","4","33"
"car_seat.n.01","Ready","False","False","a seat in a car","seat.n.04,","infant_car_seat.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"car_tire.n.01","Not Ready","False","True","a tire consisting of a rubber ring around the rim of an automobile wheel","tire.n.01,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","car_tire,","0","0","0"
"car_wheel.n.01","Ready","False","True","a wheel that has a tire and rim and hubcap; used to propel the car","wheel.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_black_rims-0,","car_wheel,","2","2","1"
"carafe.n.01","Ready","False","True","a bottle with a stopper; for serving wine or water","bottle.n.01,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","filled,                        ontop,                        inside,","prepare_wine_and_cheese-0,                         make_green_tea_latte-0,                         make_cream_soda-0,                         make_a_cappuccino-0,","carafe,                         decanter,","4","4","4"
"caraway_seed.n.01","Substance","False","True","aromatic seeds of the caraway plant; used widely as seasoning","flavorer.n.01,","","cookable,                         freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"carbohydrate.n.01","Substance","False","False","an essential structural component of living cells and source of energy for animals; includes simple sugars with small molecules as well as macromolecular substances; are classified according to the number of monosaccharide groups they contain","macromolecule.n.01,","polysaccharide.n.01,","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","1","0"
"carbon.n.01","Substance","False","False","an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds","chemical_element.n.01,","charcoal.n.01,                         carbon_black.n.01,","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"carbon_black.n.01","Substance","False","True","a black colloidal substance consisting wholly or principally of amorphous carbon and used to make pigments and ink","carbon.n.01,","","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"carbonate.n.01","Substance","False","False","a salt or ester of carbonic acid (containing the anion CO3)","salt.n.01,","calcium_carbonate.n.01,","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"carboy.n.01","Ready","False","True","a large bottle for holding corrosive liquids; usually cushioned in a special container","bottle.n.01,","","breakable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","inside,                        ontop,                        filled,                        contains,","recycling_glass_bottles-0,                         make_a_cappuccino-0,                         make_lemon_stain_remover-0,","reagent_bottle,","5","5","3"
"card.n.01","Not Ready","False","True","one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes","paper.n.01,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"card.n.03","Ready","False","False","a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures)","correspondence.n.01,","postcard.n.01,","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","1","0"
"card.n.04","Ready","False","True","thin cardboard, usually rectangular","cardboard.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,","setting_up_silent_auction-0,","cardstock,","1","1","1"
"cardamom.n.02","Substance","False","True","aromatic seeds used as seasoning like cinnamon and cloves especially in pickles and barbecue sauces","flavorer.n.01,","","cookable,                         freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"cardboard.n.01","Ready","False","False","a stiff moderately thick paper","paper.n.01,                         packing_material.n.01,","half__card.n.01,                         half__cardstock.n.01,                         card.n.04,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","3","0"
"cardigan.n.01","Ready","False","True","knitted jacket that is fastened up the front with buttons or a zipper","sweater.n.01,","","cloth,                         deformable,                         disinfectable,                         drapeable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        folded,                        inside,                        covered,","folding_clothes-0,                         ironing_clothes-0,","cardigan,","1","1","2"
"carne_asada.n.01","Not Ready","True","True","","dish.n.02,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"carpet_sweeper.n.01","Ready","False","True","a cleaning implement with revolving brushes that pick up dirt as the implement is pushed over a carpet","cleaning_implement.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","carpet_sweeper,","1","1","0"
"carrel.n.02","Ready","False","True","small individual study area in a library","alcove.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","cubicle,","2","2","0"
"carrot.n.03","Ready","False","True","orange root; important source of carotene","root_vegetable.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","inside,                        cooked,                        ontop,                        covered,                        frozen,","make_stew-0,                         roast_vegetables-0,                         washing_vegetables-0,                         freeze_vegetables-0,                         preserving_vegetables-0,                         make_soup-0,                         cook_carrots-0,","carrot,","3","3","7"
"carrot_juice.n.01","Substance","False","True","usually freshly squeezed juice of carrots","juice.n.01,","","boilable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","covered,","clean_a_blender-0,","carrot_juice,","0","0","1"
"carryall.n.01","Ready","False","True","a capacious bag or basket","bag.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        nextto,                        inside,","pack_a_beach_bag-0,","tote,","1","1","1"
"carton.n.02","Ready","False","True","a box made of cardboard; opens by flaps on top","box.n.01,","","disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         openable,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,                        nextto,                        filled,                        open,","packing_hobby_equipment-0,                         unloading_shopping_items-0,                         organizing_boxes_in_garage-0,                         moving_stuff_to_storage-0,                         putting_away_toys-0,                         distributing_event_T_shirts-0,                         sorting_art_supplies-0,                         moving_boxes_to_storage-0,                         selling_products_at_flea_market-0,                         unpacking_moving_van-0,                       ...","carton,","8","8","37"
"carton__of__chocolate_milk.n.01","Not Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","carton_of_chocolate_milk,","0","0","0"
"carton__of__eggs.n.01","Ready","True","True","","grocery.n.02,","","breakable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","carton_of_eggs,","4","4","0"
"carton__of__milk.n.01","Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","inside,                        ontop,","carrying_in_groceries-0,                         buying_groceries-0,                         buy_food_for_a_party-0,                         putting_food_in_fridge-0,                         distributing_groceries_at_food_bank-0,                         delivering_groceries_to_doorstep-0,","carton_of_milk,","8","8","6"
"carton__of__orange_juice.n.01","Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,","prepare_a_breakfast_bar-0,                         putting_food_in_fridge-0,                         setup_a_bar_for_a_cocktail_party-0,","carton_of_orange_juice,","2","2","3"
"carton__of__pineapple_juice.n.01","Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","carton_of_pineapple_juice,","1","1","0"
"carton__of__soy_milk.n.01","Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","carton_of_soy_milk,","1","1","0"
"cartridge.n.03","Not Ready","False","False","a module designed to be inserted into a larger piece of equipment","module.n.04,","ink_cartridge.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"carving_knife.n.01","Ready","False","True","a large knife used to carve cooked meat","knife.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         mixingTool,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         slicer,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,                        covered,                        nextto,","prepare_and_cook_prawns-0,                         make_a_salad-0,                         make_fruit_punch-0,                         make_pizza-0,                         cook_zucchini-0,                         make_seafood_stew-0,                         make_nachos-0,                         make_chicken_fajitas-0,                         can_meat-0,                         cook_chicken-0,                       ...","carving_knife,","11","11","60"
"case.n.05","Ready","False","False","a portable container for carrying several objects","container.n.01,","wallet.n.01,                         baggage.n.01,                         violin_case.n.01,                         briefcase.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","12","0"
"case.n.19","Ready","False","True","bed linen consisting of a cover for a pillow","bed_linen.n.01,","","cloth,                         deformable,                         disinfectable,                         drapeable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleRemover,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,                        saturated,","clean_sheets-0,","pillowcase,","3","3","1"
"case.n.20","Ready","False","True","a glass container used to store and display items in a shop or museum or home","container.n.01,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         openable,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","display_case,","3","3","0"
"case__of__eyeshadow.n.01","Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","case_of_eyeshadow,","1","1","0"
"case__of__pop.n.01","Ready","True","True","","grocery.n.02,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","pop_case,","13","13","0"
"case_shot.n.01","Not Ready","False","True","a metallic cylinder packed with shot and used as ammunition in a firearm","ammunition.n.01,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"cash_register.n.01","Ready","False","True","a cashbox with an adding machine to register transactions; used in shops to add up the bill","cashbox.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        nextto,                        inside,","buy_home_use_medical_supplies-0,                         returning_videotapes_to_store-0,                         buying_postage_stamps-0,                         buy_natural_beef-0,                         buy_food_for_camping-0,                         selling_products_at_flea_market-0,                         buying_office_supplies-0,                         buying_groceries-0,                         buy_salad_greens-0,                         buy_meat_from_a_butcher-0,                       ...","cash_register,                         credit_card_terminal,","6","6","24"
"cashbox.n.01","Ready","False","False","a strongbox for holding cash","strongbox.n.01,","cash_register.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","6","0"
"cashew.n.02","Substance","False","True","kidney-shaped nut edible only when roasted","edible_nut.n.01,","","cookable,                         freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         slicer,                         substance,","","","cashew,","1","1","0"
"casserole.n.02","Ready","False","True","large deep dish in which food can be cooked and served","dish.n.01,","","cookable,                         disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,                        contains,                        filled,","cook_fish-0,                         serving_food_on_the_table-0,                         cook_a_ham-0,                         cook_a_pumpkin-0,                         cook_vegetables-0,                         cooking_dinner-0,                         roast_meat-0,                         make_macaroni_and_cheese-0,                         make_meatloaf-0,                         set_up_a_buffet-0,                       ...","casserole,","2","2","14"
"cassette.n.01","Not Ready","False","True","a container that holds a magnetic tape used for recording or playing sound or video","container.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"cat_food.n.01","Substance","False","True","food prepared for cats","petfood.n.01,","","freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","filled,","putting_out_cat_food-0,","cat_food,","2","2","1"
"cat_food__tin.n.01","Ready","True","True","","container.n.01,","","disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        filled,","putting_out_cat_food-0,","cat_food_tin,","1","1","1"
"catalog.n.01","Ready","False","True","a book or pamphlet containing an enumeration of things","book.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,","sorting_volunteer_materials-0,","catalog,","4","4","1"
"catsup.n.01","Substance","False","True","thick spicy sauce made from tomatoes","condiment.n.01,","","boilable,                         cookable,                         freezable,                         liquid,                         physicalSubstance,                         substance,","covered,                        insource,","make_meatloaf-0,","catsup,","0","0","1"
"catsup__bottle.n.01","Ready","True","True","","vessel.n.03,","","breakable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         particleSource,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","inside,                        insource,","make_meatloaf-0,","catsup_bottle,","1","1","1"
"cauliflower.n.02","Ready","False","True","compact head of white undeveloped flowers","cruciferous_vegetable.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","inside,                        covered,","wash_fruit_and_vegetables-0,","cauliflower,","1","1","1"
"causal_agent.n.01","Ready","False","False","any entity that produces an effect or is responsible for events or results","physical_entity.n.01,","agent.n.01,                         agent.n.03,                         person.n.01,","freezable,","","","","0","22","0"
"cayenne.n.02","Substance","False","True","ground pods and seeds of pungent red peppers of the genus Capsicum","flavorer.n.01,","","cookable,                         freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","insource,                        contains,","prepare_and_cook_swiss_chard-0,                         make_jamaican_jerk_seasoning-0,","cayenne,","1","1","2"
"cayenne__shaker.n.01","Ready","True","True","","container.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         needsOrientation,                         nonSubstance,                         particleApplier,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","ontop,                        insource,","prepare_and_cook_swiss_chard-0,                         make_jamaican_jerk_seasoning-0,","cayenne_shaker,","1","1","2"
"cedar_chest.n.01","Ready","False","True","a chest made of cedar","chest.n.02,","","disinfectable,                         dustyable,                         flammable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         openable,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        inside,","preparing_clothes_for_the_next_day-0,                         organise_a_linen_closet-0,                         laying_clothes_out-0,","cedar_chest,","2","2","3"
"ceiling.n.01","Ready","False","True","the overhead upper surface of a covered space","upper_surface.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         sceneObject,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","ceilings,","364","364","0"
"ceiling_fan.n.01","Ready","True","True","","fan.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","","","ceiling_fan,","1","1","0"
"ceiling_rack.n.01","Ready","True","True","","rack.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","ceiling_rack,","8","8","0"
"celery.n.02","Ready","False","True","stalks eaten raw or cooked or used as seasoning","vegetable.n.01,","","cookable,                         disinfectable,                         dustyable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         sliceable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","cooked,                        inside,","make_soup-0,","celery,","1","1","1"
"cellular_telephone.n.01","Ready","False","True","a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver","radiotelephone.n.02,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         toggleable,                         wetable,                         wrinkleable,","","","cell_phone,","1","1","0"
"cellulose_tape.n.01","Ready","False","True","transparent or semitransparent adhesive tape (trade names Scotch tape and Sellotape) used for sealing or attaching or mending","adhesive_tape.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","cellulose_tape,","5","5","0"
"cement.n.01","Ready","False","True","concrete pavement is sometimes referred to as cement","concrete.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,                        covered,","clean_cement-0,","cement,","1","1","1"
"centerpiece.n.02","Ready","False","True","something placed at the center of something else (as on a table)","decoration.n.01,","","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","ontop,","decorating_outside_for_parties-0,","centerpiece,","2","2","1"
"ceramic.n.01","Not Ready","False","False","an artifact made of hard brittle material produced from nonmetallic minerals by firing at high temperatures","instrumentality.n.03,","brick.n.01,","disinfectable,                         dustyable,                         freezable,                         grassyable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","0","0"
"ceramic_ware.n.01","Ready","False","False","utensils made from ceramic material","utensil.n.01,","porcelain.n.01,","disinfectable,                         dustyable,                         fillable,                         freezable,                         grassyable,                         heatable,                         moldyable,                         nonSubstance,                         rigidBody,                         rustable,                         scratchable,                         stainable,                         stickyable,                         tarnishable,                         wetable,                         wrinkleable,","","","","0","6","0"
"cereal.n.01","Substance","False","False","grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet","grass.n.01,","cooked__barley.n.01,                         barley.n.02,","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"cereal.n.03","Substance","False","False","a breakfast food prepared from grain","breakfast_food.n.01,","cold_cereal.n.01,","freezable,                         macroPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
"chaff.n.01","Substance","False","True","material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds","plant_material.n.01,","","freezable,                         microPhysicalSubstance,                         physicalSubstance,                         substance,","","","","0","0","0"
