synset,cook_temperature,substance_cooking_derivative_synset
diced__tortilla_chip.n.01,176,cooked__diced__tortilla_chip.n.01
diced__trout.n.01,74,cooked__diced__trout.n.01
diced__tuna.n.01,63,cooked__diced__tuna.n.01
diced__turkey.n.01,82,cooked__diced__turkey.n.01
diced__turkey_leg.n.01,74,cooked__diced__turkey_leg.n.01
diced__vanilla.n.01,100,cooked__diced__vanilla.n.01
diced__veal.n.01,74,cooked__diced__veal.n.01
diced__venison.n.01,63,cooked__diced__venison.n.01
diced__waffle.n.01,176,cooked__diced__waffle.n.01
diced__walnut.n.01,58,cooked__diced__walnut.n.01
diced__white_turnip.n.01,58,cooked__diced__white_turnip.n.01
diced__whole_garlic.n.01,58,cooked__diced__whole_garlic.n.01
diced__yam.n.01,96,cooked__diced__yam.n.01
half__antipasto.n.01,58,
half__arepa.n.01,180,
half__artichoke.n.01,58,
half__arugula.n.01,58,
half__asparagus.n.01,58,
half__auricularia.n.01,58,
half__avocado.n.01,58,
half__bacon.n.01,63,
half__bagel.n.01,190,
half__bagel_dough.n.01,180,
half__baguet.n.01,177,
half__banana.n.01,58,
half__banana_bread.n.01,180,
half__bay_leaf.n.01,58,
half__bean_curd.n.01,58,
half__beet.n.01,58,
half__biscuit_dough.n.01,180,
half__blackberry.n.01,58,
half__bok_choy.n.01,58,
half__bratwurst.n.01,72,
half__brisket.n.01,63,
half__broccoli.n.01,58,
half__broccoli_rabe.n.01,58,
half__broccolini.n.01,58,
half__brownie.n.01,180,
half__brussels_sprouts.n.01,58,
half__burrito.n.01,140,
half__butternut_squash.n.01,58,
half__cantaloup.n.01,58,
half__carne_asada.n.01,74,
half__cauliflower.n.01,58,
half__celery.n.01,58,
half__chanterelle.n.01,204,
half__chard.n.01,58,
half__cheese_tart.n.01,180,
half__cheesecake.n.01,82,
half__cherry.n.01,58,
half__cherry_tomato.n.01,58,
half__chicken.n.01,74,
half__chicken_breast.n.01,74,
half__chicken_leg.n.01,74,
half__chicken_tender.n.01,74,
half__chicken_wing.n.01,74,
half__chili.n.01,74,
half__chives.n.01,58,
half__chocolate_biscuit.n.01,180,
half__chocolate_cake.n.01,180,
half__chocolate_chip_cookie.n.01,180,
half__chocolate_cookie_dough.n.01,175,
half__chorizo.n.01,71,
half__cinnamon_roll.n.01,180,
half__club_sandwich.n.01,200,
half__cod.n.01,63,
half__cold_cuts.n.01,82,
half__crab.n.01,63,
half__crayfish.n.01,63,
half__crescent_roll.n.01,180,
half__cucumber.n.01,58,
half__danish.n.01,180,
half__date.n.01,58,
half__doughnut.n.01,180,
half__dried_apricot.n.01,58,
half__duck.n.01,74,
half__dumpling.n.01,100,
half__durian.n.01,58,
half__edible_cookie_dough.n.01,180,
half__enchilada.n.01,176,
half__fennel.n.01,58,
half__fillet.n.01,63,
half__frank.n.01,74,
half__frankfurter_bun.n.01,180,
half__french_fries.n.01,100,
half__french_toast.n.01,200,
half__fruitcake.n.01,180,
half__garlic_bread.n.01,176,
half__gelatin.n.01,54,
half__ginger.n.01,58,
half__gingerbread.n.01,175,
half__gooseberry.n.01,58,
half__gourd.n.01,58,
half__granola_bar.n.01,180,
half__grapefruit.n.01,58,
half__green_bean.n.01,58,
half__green_onion.n.01,58,
half__grouper.n.01,63,
half__halibut.n.01,63,
half__ham_hock.n.01,63,
half__hamburger.n.01,71,
half__hamburger_bun.n.01,200,
half__hazelnut.n.01,72,
half__head_cabbage.n.01,58,
half__hip.n.01,58,
half__hotdog.n.01,60,
half__huitre.n.01,74,
half__kabob.n.01,74,
half__kale.n.01,58,
half__kielbasa.n.01,74,
half__lamb.n.01,74,
half__leek.n.01,58,
half__lemon_peel.n.01,58,
half__lettuce.n.01,58,
half__lobster.n.01,58,
half__macaroon.n.01,180,
half__marshmallow.n.01,110,
half__meat_loaf.n.01,74,
half__meatball.n.01,63,
half__muffin.n.01,93,
half__mustard.n.01,50,
half__nectarine.n.01,58,
half__olive.n.01,58,
half__omelet.n.01,93,
half__oxtail.n.01,63,
half__parsley.n.01,58,
half__parsnip.n.01,58,
half__pastry.n.01,204,
half__peppermint.n.01,50,
half__pepperoni.n.01,74,
half__pie_crust.n.01,200,
half__pieplant.n.01,58,
half__pita.n.01,176,
half__pizza.n.01,246,
half__pizza_dough.n.01,180,
half__pork.n.01,63,
half__porkchop.n.01,74,
half__potato_pancake.n.01,190,
half__prawn.n.01,74,
half__prosciutto.n.01,71,
half__pumpkin.n.01,58,
half__quail.n.01,74,
half__quiche.n.01,180,
half__radish.n.01,58,
half__ramen.n.01,100,
half__rib.n.01,63,
half__rutabaga.n.01,100,
half__salmon.n.01,74,
half__scone.n.01,93,
half__shiitake.n.01,58,
half__sirloin.n.01,63,
half__snapper.n.01,63,
half__sour_bread.n.01,200,
half__spice_cookie.n.01,180,
half__spice_cookie_dough.n.01,180,
half__spinach.n.01,58,
half__sprout.n.01,58,
half__squid.n.01,63,
half__steak.n.01,63,
half__sugar_cookie.n.01,180,
half__sugar_cookie_dough.n.01,180,
half__sushi.n.01,71,
half__sweet_corn.n.01,58,
half__taco.n.01,176,
half__tenderloin.n.01,63,
half__toast.n.01,177,
half__tofu.n.01,150,
half__tortilla.n.01,190,
half__tortilla_chip.n.01,176,
half__trout.n.01,74,
half__tuna.n.01,63,
half__turkey.n.01,82,
half__turkey_leg.n.01,74,
half__vanilla.n.01,100,
half__veal.n.01,74,
half__venison.n.01,63,
half__virginia_ham.n.01,74,
half__waffle.n.01,176,
half__walnut.n.01,58,
half__white_turnip.n.01,58,
half__whole_garlic.n.01,58,
half__yam.n.01,96,
diced__melon.n.01,58,cooked__diced__melon.n.01
diced__onion.n.01,58,cooked__diced__onion.n.01
diced__pomegranate.n.01,58,cooked__diced__pomegranate.n.01
diced__pomelo.n.01,58,cooked__diced__pomelo.n.01
diced__roast_beef.n.01,74,cooked__diced__roast_beef.n.01
diced__tomato.n.01,58,cooked__diced__tomato.n.01
half__papaya.n.01,58,
diced__papaya.n.01,58,cooked__diced__papaya.n.01
half__carrot.n.01,91,
diced__carrot.n.01,91,cooked__diced__carrot.n.01
half__clove.n.01,91,
diced__clove.n.01,91,cooked__diced__clove.n.01
half__cookie_dough.n.01,93,
diced__cookie_dough.n.01,93,cooked__diced__cookie_dough.n.01
half__roll_dough.n.01,93,
diced__roll_dough.n.01,93,cooked__diced__roll_dough.n.01
half__sourdough.n.01,93,
diced__sourdough.n.01,93,cooked__diced__sourdough.n.01
white_wine.n.01,100,cooked__white_wine.n.01
popcorn.n.02,93,cooked__popcorn.n.01
