id,category,board link,synset,approved,mass estimate ig2,mass estimate gpt3,mass estimate chatgpt4,mass estimate gpt4,old annotated mass,new annotated mass,mass (auto),description,approval comments
483,funnel,funnel,funnel.n.02,1,1.776,0.200,0.050,0.100,1.000,,0.117,,
484,gooseneck_microphone,gooseneck_microphone,microphone.n.01,1,4.448,0.500,1.000,0.500,4.448,,0.667,"S: (n) microphone, mike, mic (device for converting sound waves into electrical energy)",
485,magnetic_stirrer,magnetic_stirrer,stirrer.n.02,1,1.177,3.000,2.500,0.400,1.177,,1.967,,
486,classroom_mock_up,classroom_mock_up,mock-up.n.01,1,0.472,500.000,100.000,200.000,3.000,,266.667,"model, maket, simulation for learning in classroom",
487,elevator_door,elevator_door,elevator_door.n.01,1,8.490,150.000,90.000,150.000,8.490,,130.000,The door of an elevator,
488,information_bulletin,information_bulletin,information_bulletin.n.01,1,0.200,1.000,0.050,0.100,0.700,,0.383,S: (n) information bulletin (a bulletin containing the latest information),
489,saucepot,saucepot,saucepot.n.01,1,2.167,2.000,1.500,2.000,2.167,,1.833,,
490,stockpot,stockpot,stockpot.n.01,1,2.167,5.000,2.500,2.000,2.167,,3.167,,
491,specimen_bottle,specimen_bottle,specimen_bottle.n.01,1,0.633,0.100,0.200,0.200,0.633,,0.167,,
492,pencil_holder,pencil_holder,pencil_holder.n.01,1,0.454,0.200,0.100,0.150,0.454,,0.150,,
493,periodic_table,periodic_table,periodic_table.n.01,1,0.150,5.000,2.300,0.100,0.150,,2.467,,
494,petri_dish,petri_dish,petri_dish.n.01,1,1.788,0.050,0.025,0.050,1.788,,0.042,,
495,clipboard,clipboard,clipboard.n.01,1,221.126,0.500,0.400,0.400,1.000,,0.433,,
496,test_tube_holder,test_tube_holder,tongs.n.01,1,0.257,0.100,0.150,0.100,0.900,,0.117,,
497,paperback_book,paperback_book,paperback_book.n.01,1,0.435,0.500,0.280,0.300,2.000,,0.360,,
498,paper_sheet,paper_sheet,sheet.n.02,1,0.100,0.010,0.005,0.005,0.100,,0.007,,
499,saucer,saucer,saucer.n.02,1,1.025,0.100,0.100,0.100,1.025,,0.100,,
500,webcam,webcam,webcam.n.02,1,15.432,0.100,0.100,0.200,5.000,,0.133,,
501,spirit_lamp,spirit_lamp,spirit_lamp.n.01,1,0.301,0.200,0.300,0.500,1.000,,0.333,,
502,buret_clamp,buret_clamp,clamp.n.01,1,0.454,0.100,0.300,0.500,0.454,,0.300,,
503,flask_clamp,flask_clamp,clamp.n.01,1,0.454,0.100,0.300,0.500,0.454,,0.300,,
504,test_tube_clamp,test_tube_clamp,clamp.n.01,1,0.454,0.100,0.150,0.200,0.454,,0.150,,
505,playground,playground,playground.n.02,1,11.903,"1,000.000","50,000.000","10,000.000",,,20333.333,,
506,sandbox,sandbox,sandbox.n.02,1,0.250,50.000,"1,000.000",50.000,20.000,,366.667,,
507,toy_box,toy_box,toy_box.n.01,1,7.257,5.000,2.000,7.000,7.257,,4.667,,
508,toilet_paper_holder,toilet_paper_holder,toilet_paper_holder.n.01,1,0.454,0.500,0.500,0.500,0.454,,0.500,,
509,electric_fan,electric_fan,electric_fan.n.01,1,8.490,2.000,2.000,2.500,8.490,,2.167,"S: (n) electric fan, blower (a fan run by an electric motor)",
510,terrarium,terrarium,terrarium.n.01,1,10.040,10.000,5.000,5.000,12.000,,6.667,,
511,trophy,trophy,trophy.n.02,1,0.200,1.000,2.000,3.000,2.000,,2.000,,
512,lab_exhaust_hood,lab_exhaust_hood,lab_exhaust_hood.n.01,1,13.503,300.000,50.000,25.000,13.503,,125.000,,
513,water_cooler,water_cooler,water_cooler.n.01,1,8.490,50.000,20.000,20.000,8.490,,30.000,,
514,map,map,map.n.01,1,0.472,0.500,0.100,0.100,0.472,,0.233,,
515,garden_plant,garden_plant,garden_plant.n.01,1,1.518,2.000,1.000,1.000,1.518,,1.333,,
516,bottle_of_champagne,bottle_of_champagne,bottle__of__champagne.n.01,1,0.470,1.500,1.400,0.750,0.800,,1.217,"S: (n) champagne, bubbly (a white sparkling wine either produced in Champagne or resembling that produced there)",
517,pill_bottle,pill_bottle,pill_bottle.n.01,1,0.633,0.100,0.050,0.050,0.633,,0.067,,
518,picture_frame,picture_frame,picture_frame.n.01,1,9.747,1.000,1.000,1.500,1.000,,1.167,"with a support, can stand on the table on its own",
519,bench_press_machine,bench_press_machine,bench_press.n.01,1,0.540,200.000,80.000,150.000,11.000,,143.333,,
520,pine_cone,pine_cone,pinecone.n.01,1,0.376,0.050,0.050,0.100,0.376,,0.067,,
521,sound_system,sound_system,audio_system.n.01,1,12.098,50.000,10.000,7.000,12.098,,22.333,the thing with the CD player and amplifier that loudspeakers are connected to,
522,drink_dispenser,drink_dispenser,drink__dispenser.n.01,1,0.400,5.000,3.000,7.000,2.000,,5.000,,
523,eyeglasses,eyeglasses,spectacles.n.01,1,3.190,0.100,0.030,0.030,1.000,,0.053,,
524,seashell,seashell,seashell.n.01,1,0.376,0.050,0.020,0.050,0.376,,0.040,,
525,structural_element,structural_element,skeleton.n.04,1,9.747,100.000,500.000,100.000,9.747,,233.333,,
526,swing,swing,swing.n.02,1,4.370,50.000,25.000,20.000,4.370,,31.667,,
527,shopping_cart,shopping_cart,shopping_cart.n.01,1,"1,204.000",15.000,20.000,18.000,20.000,,17.667,,
528,box_of_sake,box_of_sake,box__of__sake.n.01,1,0.470,1.500,1.500,0.750,5.000,,1.250,,
529,bottle_of_sake,bottle_of_sake,bottle__of__sake.n.01,1,0.470,0.750,1.200,0.700,0.800,,0.883,,
530,motion_sensor,motion_sensor,photoelectric_cell.n.01,1,6.469,0.100,0.200,0.200,0.500,,0.167,for lights and toilet.,
531,hair_dryer,hair_dryer,hand_blower.n.01,1,39.505,0.500,0.500,0.600,7.000,,0.533,,
532,fireplace,fireplace,fireplace.n.01,1,10.040,250.000,800.000,100.000,,,383.333,,
533,tiramisu,tiramisu,tiramisu.n.01,1,0.303,1.000,0.500,0.500,0.700,,0.667,,
534,storage_box,storage_box,storage_container.n.01,1,2.779,0.500,1.000,1.000,2.779,,0.833,,
535,chalice,chalice,goblet.n.01,1,0.241,0.500,0.500,0.500,2.000,,0.500,,
536,reagent_bottle,reagent_bottle,carboy.n.01,1,0.633,2.000,1.000,2.000,0.633,,1.667,,
537,marker,marker,marker.n.03,1,0.064,0.050,0.020,0.020,0.064,,0.030,,
538,wall_mounted_loudspeaker,wall_mounted_loudspeaker,loudspeaker.n.01,1,6.532,10.000,3.000,3.500,6.532,,5.500,,
539,projection_screen,projection_screen,screen.n.01,1,75.409,5.000,10.000,10.000,17.000,,8.333,,
540,stadium_stand,stadium_stand,stand.n.10,1,1.269,"5,000.000","10,000.000","1,000,000.000",,,338333.333,,
541,notepad,notepad,notepad.n.01,1,0.100,0.100,0.200,0.200,,,0.167,,
542,stairs,stairs,step.n.04,1,7.711,200.000,200.000,"1,000.000",,,466.667,,
543,lawn,lawn,lawn.n.01,1,11.903,"1,000.000","5,000.000","200,000.000",,,68666.667,the grass part of exterior floors,
544,blanket,blanket,blanket.n.01,1,1.328,2.000,1.500,1.500,,,1.667,,
545,background,background,backdrop.n.01,1,0.540,5.000,5.000,5.000,,,5.000,,
546,soccer_ball,soccer_ball,soccer_ball.n.01,1,0.070,0.400,0.430,0.430,,,0.420,,
547,hammock,hammock,hammock.n.03,1,57.125,2.000,3.000,5.000,,,3.333,,
548,fairy_light,fairy_light,fairy_light.n.01,1,0.301,0.020,0.500,0.500,,,0.340,lights hanging from a cable,
549,railing,railing,railing.n.01,1,15.554,10.000,10.000,10.000,,,10.000,,
550,cigar,cigar,cigar.n.01,1,0.763,0.010,0.020,0.010,,,0.013,S: (n) cigar (a roll of tobacco for smoking),
551,stapler,stapler,stapler.n.01,1,2.764,0.500,0.250,0.750,,,0.500,"S: (n) stapler, stapling machine (a machine that inserts staples into sheets of paper in order to fasten them together)",
552,ivy,ivy,ivy.n.01,1,0.009,0.100,2.000,0.500,,,0.867,"S: (n) ivy, common ivy, English ivy, Hedera helix (Old World vine with lobed evergreen leaves and black berrylike fruits)",
553,bamboo,bamboo,bamboo.n.01,1,1.055,50.000,2.000,300.000,,,117.333,S: (n) bamboo (woody tropical grass having hollow woody stems; mature canes used for construction and furniture),
554,garden_umbrella,garden_umbrella,garden_umbrella.n.01,1,0.408,5.000,8.000,12.000,,,8.333,"The big umbrellas that are placed in gardens, patios, and beaches",
555,weed,weed,weed.n.01,1,0.009,0.100,0.200,0.100,,,0.133,S: (n) weed (any plant that crowds out cultivated plants),
556,hall_tree,hall_tree,hallstand.n.01,1,19.189,50.000,20.000,30.000,,,33.333,a special type of wardrobe for entryways that have bottom drawers exposed coat hangers.,
557,pergola,pergola,arbor.n.03,1,9.747,100.000,100.000,100.000,,,100.000,"S: (n) arbor, arbour, bower, pergola (a framework that supports climbing plants) ""the arbor provided a shady resting place in the park""",
558,rose,rose,rose.n.01,1,0.002,0.100,1.000,0.020,,,0.373,"S: (n) rose, rosebush (any of many shrubs of the genus Rosa that bear roses)",
559,garage_door,garage_door,gate.n.01,1,26.308,100.000,80.000,125.000,,,101.667,,
560,knife_block,knife_block,knife_block.n.01,1,5.595,2.000,2.000,1.500,,,1.833,,
561,garden_chair,garden_chair,lawn_chair.n.01,1,11.287,5.000,5.000,4.500,,,4.833,,
562,postcard,postcard,postcard.n.01,1,0.200,0.010,0.006,0.006,,,0.007,,
563,coffee_bean,coffee_bean,coffee_bean.n.01,1,0.015,0.001,0.001,0.010,,,0.004,,
564,paper_coffee_filter,paper_coffee_filter,paper_coffee_filter.n.01,1,0.771,0.001,0.003,0.010,,,0.005,,
565,colored_pencil,colored_pencil,pencil.n.01,1,0.007,0.010,0.006,0.010,,,0.009,,
566,comic_book,comic_book,comic_book.n.01,1,7.613,0.500,0.200,0.200,,,0.300,,
567,joystick,joystick,joystick.n.02,1,5.005,0.200,0.400,0.200,,,0.267,,
568,cookie_cutter,cookie_cutter,cookie_cutter.n.01,1,1.776,0.050,0.050,0.050,,,0.050,,
569,bottle_of_orange_juice,bottle_of_orange_juice,bottle__of__orange_juice.n.01,1,1.722,1.000,1.200,1.200,,,1.133,,
570,hair_spray,hair_spray,hair_spray.n.01,1,0.253,0.200,0.400,0.250,,,0.283,,
571,corkscrew,corkscrew,corkscrew.n.01,1,0.359,0.050,0.075,0.100,,,0.075,,
572,mannequin,mannequin,mannequin.n.02,1,0.472,20.000,15.000,8.000,,,14.333,,
573,ceremonial_robe,ceremonial_robe,gown.n.05,1,0.333,2.000,1.500,2.000,,,1.833,,
574,cotton_ball,cotton_ball,cotton.n.01,1,1.055,0.001,0.002,0.002,,,0.002,,
575,cranberry,cranberry,cranberry.n.02,1,0.300,0.010,0.002,0.002,,,0.005,,
576,lobster,lobster,lobster.n.01,1,1.518,0.500,0.600,0.900,,,0.667,,
577,crayon,crayon,crayon.n.01,1,0.010,0.005,0.010,0.010,0.010,,0.008,,
578,crouton,crouton,crouton.n.01,1,0.233,0.010,0.002,0.002,,,0.005,,
579,sliced_cucumber,sliced_cucumber,sliced__cucumber.n.01,1,0.386,0.200,0.025,0.020,,,0.082,"to be used as a ""half cucumber"" -> needs diceable",
580,chopped_lettuce,chopped_lettuce,chopped__lettuce.n.01,1,0.030,0.100,0.025,0.015,,,0.047,"to be used as a ""half lettuce"" -> needs diceable",
581,crystal,crystal,crystal.n.03,1,0.376,0.500,1.000,1.000,,,0.833,,
582,garden_coffee_table,garden_coffee_table,coffee_table.n.01,1,11.620,10.000,10.000,10.000,,,10.000,coffee table but for garden,
583,garden_statue,garden_statue,statue.n.01,1,0.900,100.000,50.000,50.000,,,66.667,any kind of statue/monument in the garden,
584,driveway,driveway,driveway.n.01,1,4.918,"1,000.000","5,000.000",0.000,,,2000.000,part of exterior floor where cars are parked,
585,hanging_banners,hanging_banners,banner.n.01,1,3.743,1.000,1.000,1.500,,,1.167,banners hanging on a rope,
586,nightstand,nightstand,stand.n.04,1,18.144,20.000,10.000,10.000,20.000,,13.333,,
587,suitcase,suitcase,bag.n.06,1,1.500,3.000,4.500,5.000,,,4.167,,
588,teaspoon,teaspoon,teaspoon.n.02,1,0.060,0.010,0.020,0.020,,,0.017,,
589,wardrobe,wardrobe,wardrobe.n.01,1,19.189,100.000,50.000,75.000,,,75.000,,
590,pestle,pestle,pestle.n.03,1,0.359,0.500,0.500,0.400,,,0.467,,
591,skirt,skirt,skirt.n.01,1,1.328,0.300,0.200,0.250,,,0.250,,
592,hourglass,hourglass,sandglass.n.01,1,7.312,1.000,0.300,0.500,,,0.600,,
593,pants,pants,long_trousers.n.01,1,0.400,0.500,0.500,0.500,,,0.500,,
594,drawer_unit,drawer_unit,chest_of_drawers.n.01,1,19.189,50.000,30.000,30.000,,,36.667,,
595,ashtray,ashtray,ashtray.n.01,1,1.098,0.500,0.400,0.500,,,0.467,,
596,tennis_racket,tennis_racket,tennis_racket.n.01,1,1.177,0.300,0.300,0.300,,,0.300,,
597,poster,poster,poster.n.01,1,0.200,0.100,0.050,0.100,,,0.083,,
598,fennel,fennel,fennel.n.02,1,0.142,0.500,0.200,0.200,,,0.300,,
599,curtain_rod,curtain_rod,curtain_rod.n.01,1,1.177,1.000,2.000,1.500,,,1.500,,
600,bottle_of_coke,bottle_of_coke,bottle__of__coke.n.01,1,0.633,0.500,1.500,1.000,,,1.000,,
602,cymbal,cymbal,cymbal.n.01,1,228.157,2.000,1.000,1.000,,,1.333,,
603,dahlia_flower,dahlia_flower,dahlia.n.01,1,0.009,0.100,0.030,0.100,,,0.077,,
604,flower_petal,flower_petal,petal.n.01,1,0.376,0.001,0.001,0.002,,,0.001,,
605,spray_bottle,spray_bottle,atomizer.n.01,1,0.699,0.100,0.400,0.500,,,0.333,,
606,decanter,decanter,carafe.n.01,1,0.500,0.500,1.000,1.500,,,1.000,,
607,dehumidifier,dehumidifier,dehumidifier.n.01,1,39.262,20.000,10.000,15.000,,,15.000,,
608,denture,denture,denture.n.01,1,8.490,0.100,0.025,0.030,,,0.052,,
609,diamond,diamond,diamond.n.01,1,0.004,0.500,0.003,0.002,,,0.168,,
610,diaper,diaper,diaper.n.01,1,0.506,0.100,0.100,0.050,,,0.083,,
611,dice,dice,die.n.01,1,0.014,0.010,0.006,0.008,,,0.008,,
612,dowel,dowel,dowel.n.01,1,0.004,0.100,0.020,0.100,,,0.073,,
613,dried_apricot,dried_apricot,dried_apricot.n.01,1,0.438,0.010,0.005,0.005,,,0.007,,
614,bay_leaf,bay_leaf,bay_leaf.n.01,1,0.009,0.001,0.002,0.002,,,0.002,,
615,drumstick,drumstick,drumstick.n.02,1,0.091,0.100,0.200,0.200,0.091,,0.167,,
616,duct_tape,duct_tape,duct_tape.n.01,1,0.800,0.100,0.300,0.500,,,0.300,,
617,dumpling,dumpling,dumpling.n.01,1,0.454,0.050,0.025,0.050,,,0.042,,
618,zhenglong,zhenglong,steamer.n.02,1,1.862,1.000,3.000,2.500,,,2.167,,
619,dutch_oven,dutch_oven,dutch_oven.n.02,1,2.167,5.000,5.000,5.000,,,5.000,,
620,mattress,mattress,mattress.n.01,1,0.362,45.000,35.000,30.000,,,36.667,,
621,easter_egg,easter_egg,easter_egg.n.01,1,0.029,0.050,0.050,0.050,,,0.050,,
622,electric_hand_mixer,electric_hand_mixer,electric_hand_mixer.n.01,1,2.703,1.500,1.500,1.000,,,1.333,,
623,electric_kettle,electric_kettle,electric_kettle.n.01,1,1.200,1.000,1.200,1.200,,,1.133,,
624,feather,feather,feather.n.01,1,0.715,0.003,0.001,0.002,,,0.002,,
625,sliced_chocolate_cake,sliced_chocolate_cake,sliced__chocolate_cake.n.01,1,0.061,0.500,0.075,0.100,,,0.225,"to be used as a ""half cake"" -> needs diceable",
626,firewood,firewood,firewood.n.01,1,0.601,10.000,4.000,3.000,,,5.667,,
627,fishing_rod,fishing_rod,fishing_rod.n.01,1,1.177,0.500,0.500,0.250,,,0.417,,
628,flag_pole,flag_pole,pole.n.01,1,1.177,15.000,10.000,5.000,,,10.000,,
629,flashlight,flashlight,flashlight.n.01,1,0.202,0.100,0.200,0.500,,,0.267,,
630,fountain,fountain,fountain.n.01,1,10.040,500.000,"2,000.000",150.000,,,883.333,,
631,frame,frame,frame.n.10,1,9.747,2.000,1.500,1.500,,,1.667,,
632,french_fry_holder,french_fry_holder,french_fry_holder.n.01,1,0.050,0.200,0.050,0.200,,,0.150,,
633,french_fries,french_fries,french_fries.n.02,1,0.678,0.100,0.075,0.150,,,0.108,,
634,french_toast,french_toast,french_toast.n.01,1,0.383,0.100,0.100,0.120,,,0.107,,
635,garlic,garlic,whole_garlic.n.01,1,0.015,0.050,0.045,0.050,,,0.048,,
636,beer_keg,beer_keg,beer_barrel.n.01,1,5.668,50.000,72.000,62.000,,,61.333,,
637,coffee_grinder,coffee_grinder,coffee_mill.n.01,1,0.226,1.000,1.200,4.000,,,2.067,,
638,geode,geode,geode.n.01,1,0.535,2.000,2.000,2.000,,,2.000,,
639,bottle_of_gin,bottle_of_gin,bottle__of__gin.n.01,1,0.470,1.500,1.300,1.500,,,1.433,,
640,granola_bar,granola_bar,granola_bar.n.01,1,0.052,0.100,0.045,0.045,,,0.063,,
641,dreidel,dreidel,dreidel.n.01,1,0.250,0.010,0.015,0.050,,,0.025,,
642,dried_cranberry,dried_cranberry,dried_cranberry.n.01,1,0.300,0.001,0.001,0.003,,,0.002,,
643,goggles,goggles,goggles.n.02,1,3.190,0.200,0.200,0.250,,,0.217,,
644,french_press,french_press,french_press.n.01,1,3.538,0.500,0.970,1.000,,,0.823,,
645,heap_of_granola,heap_of_granola,heap__of__granola.n.01,1,0.562,0.500,0.500,0.100,,,0.367,,
646,heap_of_raisins,heap_of_raisins,heap__of__raisins.n.01,1,0.438,0.500,0.430,0.200,,,0.377,,
647,heap_of_oatmeal,heap_of_oatmeal,heap__of__oatmeal.n.01,1,0.350,0.500,0.450,0.300,,,0.417,,
648,grapefruit,grapefruit,grapefruit.n.02,1,0.086,0.500,0.350,0.230,,,0.360,,
649,heap_of_gravel,heap_of_gravel,heap__of__gravel.n.01,1,1.055,50.000,"1,500.000","1,500.000",,,1016.667,,
650,green_bean,green_bean,green_bean.n.01,1,0.000,0.020,0.010,0.005,,,0.012,,
651,portafilter,portafilter,portafilter.n.01,1,0.771,0.200,0.800,0.500,,,0.500,,
652,hamster_wheel,hamster_wheel,hamster_wheel.n.01,1,73.482,0.500,0.500,2.000,,,1.000,,
653,hazelnut,hazelnut,hazelnut.n.02,1,0.002,0.001,0.002,0.002,,,0.002,,
654,heatgun,heatgun,heatgun.n.01,1,3.969,1.000,1.000,0.900,,,0.967,,
656,hockey_puck,hockey_puck,puck.n.02,1,5.400,0.160,0.170,0.170,,,0.167,,
657,hiking_boot,hiking_boot,hiking_boot.n.01,1,0.306,1.000,1.200,1.000,,,1.067,,
658,hockey_stick,hockey_stick,hockey_stick.n.01,1,15.432,0.500,0.600,0.300,,,0.467,,
659,hoe,hoe,hoe.n.01,1,1.627,1.500,2.000,2.000,,,1.833,,
660,hoodie,hoodie,sweatshirt.n.01,1,0.468,0.500,0.700,0.500,,,0.567,,
661,hotdog_frank,hotdog_frank,frank.n.02,1,0.200,0.100,0.075,0.045,,,0.073,,
662,hotdog_bun,hotdog_bun,frankfurter_bun.n.01,1,0.105,0.050,0.050,0.055,,,0.052,,
663,ice_bucket,ice_bucket,bucket.n.01,1,3.000,1.000,1.000,1.000,,,1.000,,
664,ironing_board,ironing_board,ironing_board.n.01,1,3.226,3.000,6.000,7.000,,,5.333,,
665,jade_roller,jade_roller,jade_roller.n.01,1,1.200,0.100,0.150,0.200,,,0.150,,
666,jelly_bean,jelly_bean,jelly_bean.n.01,1,0.029,0.001,0.002,0.002,,,0.002,,
667,quilt,quilt,quilt.n.01,1,1.328,2.000,2.500,1.500,,,2.000,,
668,jersey,jersey,jersey.n.03,1,0.295,0.200,0.300,0.250,,,0.250,,
669,jigger,jigger,shot_glass.n.01,1,0.241,0.050,0.150,0.044,,,0.081,,
670,kale,kale,kale.n.03,1,1.093,0.500,0.500,0.300,,,0.433,,
671,juicer,juicer,reamer.n.01,1,1.776,0.500,2.000,2.500,,,1.667,,
672,keys,keys,key.n.01,1,8.490,0.100,0.022,0.050,,,0.057,,
673,meringue,meringue,meringue.n.01,1,3.743,0.200,0.030,0.020,,,0.083,,
674,kayak,kayak,kayak.n.01,1,"1,204.000",20.000,20.000,35.000,,,25.000,,
675,paddle,paddle,paddle.n.04,1,1.177,0.500,1.000,0.500,,,0.667,,
676,holly_decoration,holly_decoration,holly.n.03,1,0.002,0.100,0.500,0.500,,,0.367,,
677,jade,jade,jade.n.01,1,0.014,1.500,2.000,0.500,,,1.333,,
678,work_helmet,work_helmet,helmet.n.01,1,0.408,1.000,1.400,0.400,,,0.933,,
679,air_conditioner,air_conditioner,air_conditioner.n.01,1,8.490,50.000,25.000,40.000,,,38.333,,
680,allen_wrench,allen_wrench,allen_wrench.n.01,1,0.359,0.100,0.100,0.100,,,0.100,,
681,antlers,antlers,antler.n.01,1,0.535,5.000,3.000,5.000,,,4.333,,
682,apple_pie,apple_pie,apple_pie.n.01,1,0.500,1.000,1.000,1.000,,,1.000,,
683,apron,apron,apron.n.01,1,0.333,0.200,0.200,0.250,,,0.217,,
684,arugula,arugula,arugula.n.02,1,0.009,0.200,0.010,0.100,,,0.103,,
685,asparagus,asparagus,asparagus.n.02,1,0.276,0.200,0.100,0.250,,,0.183,,
686,avocado,avocado,avocado.n.01,1,0.204,0.200,0.200,0.200,0.204,,0.200,,
687,axe,axe,ax.n.01,1,0.128,2.000,2.500,3.000,,,2.500,,
688,baby_bottle,baby_bottle,bottle.n.03,1,0.633,0.200,0.100,0.200,,,0.167,,
689,bacon,bacon,bacon.n.01,1,0.800,1.000,1.000,0.500,,,0.833,,
690,bait,bait,bait.n.01,1,0.540,0.100,0.020,0.020,,,0.047,,
691,baking_sheet,baking_sheet,cookie_sheet.n.01,1,1.862,0.500,1.500,1.000,,,1.000,,
692,balloon,balloon,balloon.n.01,1,"1,204.000",0.050,0.002,0.008,,,0.020,,
693,bandage,bandage,bandage.n.01,1,1.328,0.050,0.020,0.050,,,0.040,,
694,bandana,bandana,bandanna.n.01,1,0.427,0.050,0.100,0.080,,,0.077,,
695,baseball,baseball,baseball.n.02,1,7.751,0.150,0.145,0.145,,,0.147,,
696,baseball_bat,baseball_bat,baseball_bat.n.01,1,0.091,0.800,1.000,0.900,,,0.900,,
697,baseball_cap,baseball_cap,baseball_cap.n.01,1,0.114,0.100,0.100,0.110,,,0.103,,
698,baseball_glove,baseball_glove,baseball_glove.n.01,1,15.432,0.500,0.700,0.300,,,0.500,,
699,bath_rug,bath_rug,bath_mat.n.01,1,0.713,1.000,1.400,1.500,,,1.300,,
700,battery,battery,battery.n.02,1,0.150,0.500,0.200,0.045,,,0.248,,
701,batting_gloves,batting_gloves,batting_glove.n.01,1,7.784,0.200,0.150,0.200,,,0.183,,
702,bed_sheet,bed_sheet,sheet.n.03,1,0.800,1.000,1.500,1.000,,,1.167,,
703,beeswax_candle,beeswax_candle,beeswax_candle.n.01,1,0.603,0.200,0.200,0.050,,,0.150,,
704,bikini,bikini,bikini.n.02,1,0.506,0.200,0.100,0.400,,,0.233,,
705,birdcage,birdcage,birdcage.n.01,1,10.040,2.000,1.500,2.000,,,1.833,,
706,biscuit,biscuit,biscuit.n.01,1,0.120,0.050,0.050,0.050,,,0.050,,
707,blouse,blouse,blouse.n.01,1,0.295,0.200,0.200,0.200,,,0.200,,
708,blueberry,blueberry,blueberry.n.02,1,0.079,0.005,0.002,0.002,,,0.003,,
709,bobby_pin,bobby_pin,bobby_pin.n.01,1,0.000,0.001,0.002,0.001,,,0.001,,
710,book_case,book_case,bookcase.n.01,1,19.189,20.000,30.000,30.000,,,26.667,,
711,bookend,bookend,bookend.n.01,1,5.595,0.500,0.500,0.500,,,0.500,,
712,bowling_ball,bowling_ball,bowling_ball.n.01,1,0.070,6.000,6.350,6.350,,,6.233,,
713,boxing_gloves,boxing_gloves,boxing_glove.n.01,1,15.432,0.500,0.450,1.000,,,0.650,,
714,bra,bra,brassiere.n.01,1,0.172,0.100,0.100,0.100,,,0.100,,
715,branch,branch,branch.n.02,1,0.376,,1.000,0.500,,,0.750,,
716,bratwurst,bratwurst,bratwurst.n.01,1,0.083,0.100,0.150,0.150,,,0.133,,
717,breadcrumb,breadcrumb,breadcrumb.n.01,1,0.001,,0.001,0.005,,,0.003,,
718,brisket,brisket,brisket.n.01,1,0.475,2.000,5.000,3.000,,,3.333,,
719,brownie,brownie,brownie.n.03,1,0.052,0.100,0.050,0.050,,,0.067,,
720,brussels_sprouts,brussels_sprouts,brussels_sprouts.n.01,1,0.501,0.020,0.015,0.019,,,0.018,,
721,bottle_of_bug_repellent,bottle_of_bug_repellent,bottle__of__bug_repellent.n.01,1,0.670,0.500,0.350,0.500,,,0.450,,
722,bulb,bulb,light_bulb.n.01,1,0.202,0.100,0.030,0.100,,,0.077,,
723,burrito,burrito,burrito.n.01,1,0.383,0.500,0.500,0.250,,,0.417,,
724,butternut_squash,butternut_squash,butternut_squash.n.01,1,0.009,1.500,1.500,1.200,,,1.400,,
725,candied_yam,candied_yam,yam.n.03,1,0.376,0.500,0.200,0.250,,,0.317,,
726,can_of_coffee,can_of_coffee,can__of__coffee.n.01,1,38.432,0.500,1.000,0.500,,,0.667,,
727,can_of_sardines,can_of_sardines,can__of__sardines.n.01,1,38.432,0.100,0.200,0.200,,,0.167,,
728,can_of_tomatoes,can_of_tomatoes,can__of__tomatoes.n.01,1,38.432,0.400,0.400,0.400,,,0.400,,
729,canvas,canvas,painting.n.01,1,0.427,,1.000,0.800,,,0.900,,
730,cardigan,cardigan,cardigan.n.01,1,0.468,,0.400,0.500,,,0.450,,
731,cardstock,cardstock,card.n.04,1,0.200,,0.020,0.010,,,0.015,,
732,cauliflower,cauliflower,cauliflower.n.02,1,0.009,1.000,1.200,1.000,,,1.067,,
733,ceramic_tile,ceramic_tile,tile.n.01,1,2.200,,2.000,1.500,,,1.750,,
734,chalk,chalk,chalk.n.01,1,1.055,,0.050,0.050,,,0.050,,
735,charcoal,charcoal,charcoal.n.02,1,0.935,0.100,0.500,0.250,,,0.283,,
736,charcoal_grill,charcoal_grill,grill.n.02,1,10.700,20.000,10.000,15.000,,,15.000,,
737,chard,chard,chard.n.02,1,0.009,0.500,0.500,0.500,,,0.500,,
738,cheese_danish,cheese_danish,danish.n.02,1,0.105,0.100,0.075,0.085,,,0.087,,
739,cherry_tomato,cherry_tomato,cherry_tomato.n.02,1,0.075,0.020,0.020,0.020,,,0.020,,
740,chicken_breast,chicken_breast,chicken_breast.n.02,1,1.200,0.200,0.200,0.200,,,0.200,,
741,chicken_coop,chicken_coop,chicken_coop.n.01,1,10.040,,50.000,300.000,,,175.000,,
742,chicken_leg,chicken_leg,chicken_leg.n.01,1,0.494,0.100,0.150,0.150,,,0.133,,
743,chicken_thigh,chicken_thigh,chicken_leg.n.01,1,0.494,0.100,0.150,0.150,,,0.133,,
744,chicken_wing,chicken_wing,chicken_wing.n.01,1,1.361,0.050,0.030,0.120,,,0.067,,
746,china,china,china.n.02,1,1.776,,1.000,0.500,,,0.750,,
747,chisel,chisel,chisel.n.01,1,0.128,,0.500,0.500,,,0.500,,
748,chorizo,chorizo,chorizo.n.01,1,0.083,0.100,0.150,0.300,,,0.183,,
749,cigarette,cigarette,cigarette.n.01,1,0.763,,0.001,0.001,,,0.001,,
750,cinnamon_stick,cinnamon_stick,cinnamon_bark.n.01,1,0.376,,0.010,0.008,,,0.009,,
751,clamp,clamp,clamp.n.01,1,0.454,,0.500,1.000,,,0.750,,
752,clothesline,clothesline,clothesline.n.01,1,0.407,,0.500,0.500,,,0.500,,
