Object name,Valid Name,Original category (auto),ID (auto),New Category,Original Synset (auto),New Synset (auto),Duplicate?,Exists in deletion?
soda_can-ixrfxv,1,soda_can,ixrfxv,can_of_soda,#N/A,can__of__soda.n.01,0,0
soda_can-opivig,1,soda_can,opivig,can_of_soda,#N/A,can__of__soda.n.01,0,0
soda_can-ttxyui,1,soda_can,ttxyui,can_of_soda,#N/A,can__of__soda.n.01,0,0
spaghetti_sauce-efrxze,1,spaghetti_sauce,efrxze,jar_of_spaghetti_sauce,#N/A,jar__of__spaghetti_sauce.n.01,0,0
spaghetti_sauce-exmsmm,1,spaghetti_sauce,exmsmm,jar_of_spaghetti_sauce,#N/A,jar__of__spaghetti_sauce.n.01,0,0
spaghetti_sauce-fyocnu,1,spaghetti_sauce,fyocnu,jar_of_spaghetti_sauce,#N/A,jar__of__spaghetti_sauce.n.01,0,0
spaghetti_sauce-xpasvb,1,spaghetti_sauce,xpasvb,jar_of_spaghetti_sauce,#N/A,jar__of__spaghetti_sauce.n.01,0,0
spaghetti_sauce-yqnmoy,1,spaghetti_sauce,yqnmoy,jar_of_spaghetti_sauce,#N/A,jar__of__spaghetti_sauce.n.01,0,0
bottle-bgalkx,1,bottle,bgalkx,spray_can,#N/A,aerosol.n.02,0,0
sugar_jar-pnbbfb,1,sugar_jar,pnbbfb,jar_of_sugar,#N/A,jar__of__sugar.n.01,0,0
sugar_jar-vrmrci,1,sugar_jar,vrmrci,jar_of_sugar,#N/A,jar__of__sugar.n.01,0,0
sunglass-qiwncl,1,sunglass,qiwncl,sunglasses,#N/A,sunglasses.n.02,0,0
tea_bottle-iladfg,1,tea_bottle,iladfg,bottle_of_tea,#N/A,bottle__of__tea.n.01,0,0
tea_bottle-yatmrs,1,tea_bottle,yatmrs,bottle_of_tea,#N/A,bottle__of__tea.n.01,0,0
tomato_juice-csumos,1,tomato_juice,csumos,bottle_of_tomato_juice,#N/A,bottle__of__tomato_juice.n.01,0,0
tomato_paste-kkqtjv,1,tomato_paste,kkqtjv,bottle_of_tomato_paste,#N/A,bottle__of__tomato_paste.n.01,0,0
tomato_paste-pnshkj,1,tomato_paste,pnshkj,bottle_of_tomato_paste,#N/A,bottle__of__tomato_paste.n.01,0,0
tomato_paste-sqqdzb,1,tomato_paste,sqqdzb,can_of_tomato_paste,#N/A,can__of__tomato_paste.n.01,0,0
tomato_paste-toeelk,1,tomato_paste,toeelk,bottle_of_tomato_paste,#N/A,bottle__of__tomato_paste.n.01,0,0
tomato-ogpans,1,tomato,ogpans,beefsteak_tomato,#N/A,beefsteak_tomato.n.01,0,0
tomato-pnrdxh,1,tomato,pnrdxh,beefsteak_tomato,#N/A,beefsteak_tomato.n.01,0,0
trash_bin-jlawet,1,trash_bin,jlawet,trash_can,#N/A,ashcan.n.01,0,0
trophy_case-khxpgc,1,trophy_case,khxpgc,display_case,#N/A,case.n.20,0,0
vegetable_juice-jsnnlv,1,vegetable_juice,jsnnlv,box_of_vegetable_juice,#N/A,box__of__vegetable_juice.n.01,0,0
vegetable_juice-qgjdbn,1,vegetable_juice,qgjdbn,box_of_vegetable_juice,#N/A,box__of__vegetable_juice.n.01,0,0
water_bottle-atvnqy,1,water_bottle,atvnqy,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-cytqio,1,water_bottle,cytqio,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-cyzaue,1,water_bottle,cyzaue,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-eeaimz,1,water_bottle,eeaimz,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-hrzznl,1,water_bottle,hrzznl,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-jmwngr,1,water_bottle,jmwngr,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-lkpaas,1,water_bottle,lkpaas,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-lojipo,1,water_bottle,lojipo,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-migvlt,1,water_bottle,migvlt,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-qaceen,1,water_bottle,qaceen,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-rmtdxh,1,water_bottle,rmtdxh,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-rrkhva,1,water_bottle,rrkhva,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-suytyi,1,water_bottle,suytyi,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
water_bottle-sxffiv,1,water_bottle,sxffiv,bottle_of_water,water_bottle.n.01,bottle__of__water.n.01,0,0
whiskey_bottle-aipxlu,1,whiskey_bottle,aipxlu,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
whiskey_bottle-hejqyo,1,whiskey_bottle,hejqyo,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
whiskey_bottle-jfjclv,1,whiskey_bottle,jfjclv,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
whiskey_bottle-lzjuvy,1,whiskey_bottle,lzjuvy,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
whiskey_bottle-mtwsme,1,whiskey_bottle,mtwsme,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
whiskey_bottle-pyfpss,1,whiskey_bottle,pyfpss,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
whiskey_bottle-tihatc,1,whiskey_bottle,tihatc,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
whiskey_bottle-wmpcxu,1,whiskey_bottle,wmpcxu,bottle_of_whiskey,whiskey__bottle.n.01,bottle__of__whiskey.n.01,0,0
wine_bottle-bmudli,1,wine_bottle,bmudli,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-cldder,1,wine_bottle,cldder,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-dawhco,1,wine_bottle,dawhco,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-dbccri,1,wine_bottle,dbccri,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-dijgvu,1,wine_bottle,dijgvu,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-gaqzfq,1,wine_bottle,gaqzfq,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-ivuvbv,1,wine_bottle,ivuvbv,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-jdqahn,1,wine_bottle,jdqahn,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-jivcff,1,wine_bottle,jivcff,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-klbwkf,1,wine_bottle,klbwkf,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-kqokhv,1,wine_bottle,kqokhv,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-lacaoa,1,wine_bottle,lacaoa,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-nhmtvt,1,wine_bottle,nhmtvt,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-njoeiz,1,wine_bottle,njoeiz,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-ntzera,1,wine_bottle,ntzera,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-oldpru,1,wine_bottle,oldpru,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-oslewp,1,wine_bottle,oslewp,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-pgfplm,1,wine_bottle,pgfplm,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-pzhwxn,1,wine_bottle,pzhwxn,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-qtefba,1,wine_bottle,qtefba,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-qvsnjo,1,wine_bottle,qvsnjo,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-rfsuxc,1,wine_bottle,rfsuxc,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-rztiuc,1,wine_bottle,rztiuc,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-tisclo,1,wine_bottle,tisclo,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-uoykwx,1,wine_bottle,uoykwx,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-vmdwln,1,wine_bottle,vmdwln,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-wcokej,1,wine_bottle,wcokej,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-wzdrcl,1,wine_bottle,wzdrcl,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-xkjyby,1,wine_bottle,xkjyby,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-xzipsi,1,wine_bottle,xzipsi,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-yaxufs,1,wine_bottle,yaxufs,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
wine_bottle-ynfvhg,1,wine_bottle,ynfvhg,bottle_of_wine,wine_bottle.n.01,bottle__of__wine.n.01,0,0
yogurt-jkemqc,1,yogurt,jkemqc,box_of_yogurt,#N/A,box__of__yogurt.n.01,0,0
yogurt-jtjcrx,1,yogurt,jtjcrx,box_of_yogurt,#N/A,box__of__yogurt.n.01,0,0
yogurt-znhjgm,1,yogurt,znhjgm,box_of_yogurt,#N/A,box__of__yogurt.n.01,0,0
alarm-jyifxp,1,alarm,jyifxp,fire_alarm,#N/A,fire_alarm.n.02,0,0
alarm-nidjyp,1,alarm,nidjyp,fire_alarm,#N/A,fire_alarm.n.02,0,0
alarm-rcviyl,1,alarm,rcviyl,fire_alarm,#N/A,fire_alarm.n.02,0,0
alarm-wfihwf,1,alarm,wfihwf,fire_alarm,#N/A,fire_alarm.n.02,0,0
alarm-xjupjc,1,alarm,xjupjc,fire_alarm,#N/A,fire_alarm.n.02,0,0
coal_heater-etqusf,1,coal_heater,etqusf,sauna_heater,#N/A,sauna_heater.n.01,0,0
ball-atulnw,1,ball,atulnw,baseball,#N/A,baseball.n.02,0,0
basket-dgkhyn,1,basket,dgkhyn,wicker_basket,#N/A,wicker_basket.n.01,0,0
basket-djgllo,1,basket,djgllo,trash_can,#N/A,ashcan.n.01,0,0
statue-tnnbxo,1,statue,tnnbxo,bust,statue.n.01,bust.n.03,0,0
glove-njidcf,1,glove,njidcf,kid_glove,#N/A,#N/A,0,0
basket-jqfftz,1,basket,jqfftz,wicker_basket,#N/A,wicker_basket.n.01,0,0
basket-djrdum,1,basket,djrdum,hamper,#N/A,hamper.n.02,0,0
basket-dmizts,1,basket,dmizts,hamper,#N/A,hamper.n.02,0,0
basket-drgdfh,1,basket,drgdfh,hamper,#N/A,hamper.n.02,0,0
basket-drxfmr,1,basket,drxfmr,wicker_basket,#N/A,wicker_basket.n.01,0,0
basket-fkghop,1,basket,fkghop,hamper,#N/A,hamper.n.02,0,0
basket-hlgjme,1,basket,hlgjme,hamper,#N/A,hamper.n.02,0,0
basket-iofciz,1,basket,iofciz,hamper,#N/A,hamper.n.02,0,0
basket-mkxkwm,1,basket,mkxkwm,hamper,#N/A,hamper.n.02,0,0
basket-otswdv,1,basket,otswdv,hamper,#N/A,hamper.n.02,0,0
basket-qdienb,1,basket,qdienb,frail,#N/A,frail.n.02,0,0
basket-qhdikw,1,basket,qhdikw,hamper,#N/A,hamper.n.02,0,0
basket-sijioo,1,basket,sijioo,hamper,#N/A,hamper.n.02,0,0
basket-ssfvij,1,basket,ssfvij,hamper,#N/A,hamper.n.02,0,0
basket-stibna,1,basket,stibna,hamper,#N/A,hamper.n.02,0,0
basket-tsjvyu,1,basket,tsjvyu,wicker_basket,#N/A,wicker_basket.n.01,0,0
basket-unasxd,1,basket,unasxd,wicker_basket,#N/A,wicker_basket.n.01,0,0
basket-vbwsci,1,basket,vbwsci,hamper,#N/A,hamper.n.02,0,0
basket-zmjovr,1,basket,zmjovr,frail,#N/A,frail.n.02,0,0
bedding-dnypbe,1,bedding,dnypbe,blanket,#N/A,blanket.n.01,0,0
bedding-getwzm,1,bedding,getwzm,quilt,#N/A,quilt.n.01,0,0
bedding-vwzlnn,1,bedding,vwzlnn,blanket,#N/A,blanket.n.01,0,0
bottle-gcixra,1,bottle,gcixra,oil_bottle,#N/A,oil__bottle.n.01,0,0
bottle-ueagnt,1,bottle,ueagnt,rum_bottle,#N/A,rum__bottle.n.01,0,0
bottle-nigfha,1,bottle,nigfha,beer_bottle,#N/A,beer_bottle.n.01,0,0
bottle-ouhqnw,1,bottle,ouhqnw,canteen,#N/A,canteen.n.01,0,0
bun-jelruc,1,bun,jelruc,soft_roll,#N/A,soft_roll.n.01,0,0
bun-ogaivq,1,bun,ogaivq,soft_roll,#N/A,soft_roll.n.01,0,0
camera-yptdmt,1,camera,yptdmt,digital_camera,#N/A,digital_camera.n.01,0,0
camera-tymxet,1,camera,tymxet,digital_camera,#N/A,digital_camera.n.01,0,0
chest-amutun,1,chest,amutun,toolbox,#N/A,toolbox.n.01,0,0
chest-rrmzvc,1,chest,rrmzvc,toolbox,#N/A,toolbox.n.01,0,0
chest-ybzffr,1,chest,ybzffr,toolbox,#N/A,toolbox.n.01,0,0
candle-kxange,1,candle,kxange,beeswax_candle,#N/A,beeswax_candle.n.01,0,0
candle-rptogj,1,candle,rptogj,beeswax_candle,#N/A,beeswax_candle.n.01,0,0
candle-aiuhyv,1,candle,aiuhyv,beeswax_candle,#N/A,beeswax_candle.n.01,0,0
glass-bbpraa,1,glass,bbpraa,water_glass,#N/A,water_glass.n.02,0,0
glass-ggpnlr,1,glass,ggpnlr,water_glass,#N/A,water_glass.n.02,0,0
document-uchhwn,1,document,uchhwn,legal_document,#N/A,legal_document.n.01,0,0
document-mougvz,1,document,mougvz,legal_document,#N/A,legal_document.n.01,0,0
decoration-bpqnof,1,decoration,bpqnof,statue,#N/A,statue.n.01,0,0
decoration-hpbdid,1,decoration,hpbdid,hanging,#N/A,hanging.n.01,0,0
decoration-ydrlth,1,decoration,ydrlth,folderal,#N/A,folderal.n.01,0,0
decoration-gakixx,1,decoration,gakixx,centerpiece,#N/A,centerpiece.n.02,0,1
fence-yzplpe,1,fence,yzplpe,rail_fence,#N/A,rail_fence.n.01,0,0
fence-wvfgad,1,fence,wvfgad,rail_fence,#N/A,rail_fence.n.01,0,0
fence-roemfr,1,fence,roemfr,rail_fence,#N/A,rail_fence.n.01,0,0
fence-mnegtc,1,fence,mnegtc,rail_fence,#N/A,rail_fence.n.01,0,0
cart-lwgmcc,1,cart,lwgmcc,serving_cart,#N/A,serving_cart.n.01,0,0
cart-ouddxy,1,cart,ouddxy,serving_cart,#N/A,serving_cart.n.01,0,0
cart-revrxw,1,cart,revrxw,serving_cart,#N/A,serving_cart.n.01,0,0
cart-vvtcby,1,cart,vvtcby,serving_cart,#N/A,serving_cart.n.01,0,0
heater-arsjbe,1,heater,arsjbe,radiator,#N/A,radiator.n.02,0,0
heater-bftrar,1,heater,bftrar,radiator,#N/A,radiator.n.02,0,0
heater-lwgvaq,1,heater,lwgvaq,radiator,#N/A,radiator.n.02,0,0
heater-sxsljf,1,heater,sxsljf,radiator,#N/A,radiator.n.02,0,0
heater-xnoiwp,1,heater,xnoiwp,radiator,#N/A,radiator.n.02,0,0
sculpture-ihagjy,1,sculpture,ihagjy,statue,#N/A,statue.n.01,0,0
shoe-htqifz,1,shoe,htqifz,high_heel,#N/A,pump.n.03,0,0
shoe-omckzr,1,shoe,omckzr,high_heel,#N/A,pump.n.03,0,0
shoe-dfkzbd,1,shoe,dfkzbd,sandal,#N/A,sandal.n.01,0,0
shoe-vwbomj,1,shoe,vwbomj,sandal,#N/A,sandal.n.01,0,0
soap-feqemg,1,soap,feqemg,bar_soap,#N/A,bar_soap.n.01,0,0
spoon-tczanw,1,spoon,tczanw,wooden_spoon,#N/A,wooden_spoon.n.02,0,0
spoon-rycter,1,spoon,rycter,teaspoon,#N/A,teaspoon.n.02,0,0
spoon-vgbcmo,1,spoon,vgbcmo,teaspoon,#N/A,teaspoon.n.02,0,0
spoon-fgeimy,1,spoon,fgeimy,teaspoon,#N/A,teaspoon.n.02,0,0
spoon-ubuhoz,1,spoon,ubuhoz,tablespoon,#N/A,tablespoon.n.02,0,0
spoon-tqqwys,1,spoon,tqqwys,tablespoon,#N/A,tablespoon.n.02,0,0
spoon-asapmn,1,spoon,asapmn,teaspoon,#N/A,teaspoon.n.02,0,0
spoon-oacqcl,1,spoon,oacqcl,tablespoon,#N/A,tablespoon.n.02,0,0
stool-ivtoxu,1,stool,ivtoxu,taboret,#N/A,taboret.n.01,0,0
stool-hugvml,1,stool,hugvml,taboret,#N/A,taboret.n.01,0,0
stool-cgwxtq,1,stool,cgwxtq,taboret,#N/A,taboret.n.01,0,0
stool-stnoqf,1,stool,stnoqf,taboret,#N/A,taboret.n.01,0,0
stool-wjrpwg,1,stool,wjrpwg,taboret,#N/A,taboret.n.01,0,0
stool-ysrhuw,1,stool,ysrhuw,taboret,#N/A,taboret.n.01,0,0
stool-ehaclu,1,stool,ehaclu,taboret,#N/A,taboret.n.01,0,0
stool-zxoexh,1,stool,zxoexh,taboret,#N/A,taboret.n.01,0,0
stool-bjtbrp,1,stool,bjtbrp,music_stool,#N/A,music_stool.n.01,0,0
stool-dqvlff,1,stool,dqvlff,music_stool,#N/A,music_stool.n.01,0,0
counter-ukonss,1,counter,ukonss,reception_desk,#N/A,reception_desk.n.01,0,0
counter-qztpgl,1,counter,qztpgl,reception_desk,#N/A,reception_desk.n.01,0,0
counter-vxombm,1,counter,vxombm,reception_desk,#N/A,reception_desk.n.01,0,0
counter-cowjqr,1,counter,cowjqr,bar,#N/A,countertop.n.01,0,0
counter-joihle,1,counter,joihle,bar,#N/A,countertop.n.01,0,0
counter-kjmhgc,1,counter,kjmhgc,reception_desk,#N/A,reception_desk.n.01,0,0
counter-vduyjh,1,counter,vduyjh,oven,#N/A,oven.n.01,0,0
oven-xspxzg,1,oven,xspxzg,stove,oven.n.01,stove.n.01,0,0
icecream_cone-thwtmp,1,icecream_cone,thwtmp,ice_cream_cone,#N/A,ice_cream_cone.n.01,0,0
sneaker-rkikcm,1,sneaker,rkikcm,gym_shoe,#N/A,gym_shoe.n.01,0,0
sneaker-wkvcsn,1,sneaker,wkvcsn,gym_shoe,#N/A,gym_shoe.n.01,0,0
toaster-ctrngh,1,toaster,ctrngh,toaster_oven,toaster.n.02,toaster_oven.n.01,0,0
cinnamon-bmbjdf,1,cinnamon,bmbjdf,cinnamon_stick,cinnamon.n.03,cinnamon_bark.n.01,0,0
painting-verboh,1,painting,verboh,picture,painting.n.01,photograph.n.01,0,0
sign-sdsfzw,1,sign,sdsfzw,signpost,#N/A,signpost.n.01,0,0
sign-mlvfbp,1,sign,mlvfbp,signpost,#N/A,signpost.n.01,0,0
sign-vwhtlm,1,sign,vwhtlm,signpost,#N/A,signpost.n.01,0,0
sign-mexzmk,1,sign,mexzmk,signpost,#N/A,signpost.n.01,0,0
sign-vvjtkv,1,sign,vvjtkv,signpost,#N/A,signpost.n.01,0,0
sign-ivvjfv,1,sign,ivvjfv,signpost,#N/A,signpost.n.01,0,0
sign-tplfny,1,sign,tplfny,signpost,#N/A,signpost.n.01,0,0
sign-axhlim,1,sign,axhlim,signpost,#N/A,signpost.n.01,0,0
ball-nlpvzv,1,ball,nlpvzv,soccer_ball,#N/A,soccer_ball.n.01,0,0
painting-xsayvx,1,painting,xsayvx,portrait,painting.n.01,portrait.n.02,0,0
mold-heuzgu,1,mold,heuzgu,cast,mold.n.05,mold.n.02,0,0
bottle-yoxfyu,1,bottle,yoxfyu,oil_bottle,#N/A,oil__bottle.n.01,0,0
bottle-lzdzkk,1,bottle,lzdzkk,water_bottle,#N/A,water_bottle.n.01,0,0
bottle-ovjhuf,1,bottle,ovjhuf,cleansing_bottle,#N/A,cleansing__bottle.n.01,0,0
bottle-mjpyvh,1,bottle,mjpyvh,bottle_of_champagne,#N/A,bottle__of__champagne.n.01,0,0
bedding-uksirc,1,bedding,uksirc,blanket,#N/A,blanket.n.01,0,0
stool-bciekv,1,stool,bciekv,taboret,#N/A,taboret.n.01,0,0
spoon-eilfij,1,spoon,eilfij,teaspoon,#N/A,teaspoon.n.02,0,0
spoon-bjzgmj,1,spoon,bjzgmj,teaspoon,#N/A,teaspoon.n.02,0,0
soap-lyigsj,1,soap,lyigsj,bar_soap,#N/A,bar_soap.n.01,0,0
sculpture-cfrsik,1,sculpture,cfrsik,statue,#N/A,statue.n.01,0,0
sculpture-ponfvo,1,sculpture,ponfvo,statue,#N/A,statue.n.01,0,0
sculpture-wqseas,1,sculpture,wqseas,statue,#N/A,statue.n.01,0,0
soap-utgixp,1,soap,utgixp,bar_soap,#N/A,bar_soap.n.01,0,0
sign-hgonwj,1,sign,hgonwj,decorative_sign,#N/A,decorative_sign.n.01,0,0
sign-rypeha,1,sign,rypeha,decorative_sign,#N/A,decorative_sign.n.01,0,0
sign-xzsmxq,1,sign,xzsmxq,decorative_sign,#N/A,decorative_sign.n.01,0,0
soap-ofargb,1,soap,ofargb,bar_soap,#N/A,bar_soap.n.01,0,0
candle-acycbi,1,candle,acycbi,pillar_candle,#N/A,pillar_candle.n.01,0,0
candle-aqryfd,1,candle,aqryfd,pillar_candle,#N/A,pillar_candle.n.01,0,0
candle-bdahdx,1,candle,bdahdx,pillar_candle,#N/A,pillar_candle.n.01,0,0
candle-iotqru,1,candle,iotqru,pillar_candle,#N/A,pillar_candle.n.01,0,0
candle-qevocc,1,candle,qevocc,pillar_candle,#N/A,pillar_candle.n.01,0,0
candle-poexjo,1,candle,poexjo,dip_candle,#N/A,dip.n.07,0,0
candle-mxjejs,1,candle,mxjejs,dip_candle,#N/A,dip.n.07,0,0
candle-ghctun,1,candle,ghctun,dip_candle,#N/A,dip.n.07,0,0
candle-cxswbc,1,candle,cxswbc,pillar_candle,#N/A,pillar_candle.n.01,0,0
candle-omdnwg,1,candle,omdnwg,pillar_candle,#N/A,pillar_candle.n.01,0,0
mat-nxzfmz,1,mat,nxzfmz,place_mat,mat.n.01,place_mat.n.01,0,0
mat-oeljiw,1,mat,oeljiw,mousepad,mat.n.01,mousepad.n.01,0,0
rock-aqgqkc,1,rock,aqgqkc,boulder,#N/A,boulder.n.01,0,0
rock-axxuoc,1,rock,axxuoc,boulder,#N/A,boulder.n.01,0,0
mashed_potatoes-akpsld,1,mashed_potatoes,akpsld,mashed_potato,#N/A,mashed_potato.n.02,0,0
algae-acjxoq,1,algae,acjxoq,alga,#N/A,alga.n.01,0,0
lighter_fluid-qudpzo,1,lighter_fluid,qudpzo,bottle_of_lighter_fluid,#N/A,bottle__of__lighter_fluid.n.01,0,0
chocolate_chip-gltrdw,1,chocolate_chip,gltrdw,chocolate_kiss,#N/A,chocolate_kiss.n.01,0,0
rock-bpwpcd,1,rock,bpwpcd,pebble,#N/A,pebble.n.01,0,0
rock-cystrq,1,rock,cystrq,boulder,#N/A,boulder.n.01,0,0
rock-dwqodj,1,rock,dwqodj,pebble,#N/A,pebble.n.01,0,0
rock-flldzz,1,rock,flldzz,boulder,#N/A,boulder.n.01,0,0
rock-fplkmx,1,rock,fplkmx,boulder,#N/A,boulder.n.01,0,0
rock-gptwey,1,rock,gptwey,boulder,#N/A,boulder.n.01,0,0
rock-ibmosd,1,rock,ibmosd,boulder,#N/A,boulder.n.01,0,0
birdseed-ozvqdx,1,birdseed,ozvqdx,bird_feed,#N/A,bird_feed.n.01,0,0
rock-jzbcis,1,rock,jzbcis,boulder,#N/A,boulder.n.01,0,0
rock-zzvigh,1,rock,zzvigh,boulder,#N/A,boulder.n.01,0,0
rock-wxvbzg,1,rock,wxvbzg,boulder,#N/A,boulder.n.01,0,0
rock-qaepnw,1,rock,qaepnw,boulder,#N/A,boulder.n.01,0,0
rock-kmzdov,1,rock,kmzdov,boulder,#N/A,boulder.n.01,0,0
rock-kmiazp,1,rock,kmiazp,boulder,#N/A,boulder.n.01,0,0
rock-lwndzg,1,rock,lwndzg,boulder,#N/A,boulder.n.01,0,0
rock-vxbkjq,1,rock,vxbkjq,boulder,#N/A,boulder.n.01,0,0
seashell-ihhbfj,1,seashell,ihhbfj,clam,seashell.n.01,clam.n.03,0,0
candy-ojznyf,1,candy,ojznyf,hard_candy,#N/A,hard_candy.n.01,0,0
candy-qptjgv,1,candy,qptjgv,hard_candy,#N/A,hard_candy.n.01,0,0
candy-vwegtt,1,candy,vwegtt,hard_candy,#N/A,hard_candy.n.01,0,0
candy-vyxhmv,1,candy,vyxhmv,hard_candy,#N/A,hard_candy.n.01,0,0
candy-yuatcg,1,candy,yuatcg,hard_candy,#N/A,hard_candy.n.01,0,0
cup-dtjmai,1,cup,dtjmai,beaker,#N/A,beaker.n.02,0,0
cup-effbnc,1,cup,effbnc,beaker,#N/A,beaker.n.02,0,0
cup-fgizgn,1,cup,fgizgn,coffee_cup,#N/A,coffee_cup.n.01,0,0
cup-fsfsas,1,cup,fsfsas,soda_cup,#N/A,dixie_cup.n.01,0,0
cup-gnzegv,1,cup,gnzegv,soda_cup,#N/A,dixie_cup.n.01,0,0
cup-ibhhfj,1,cup,ibhhfj,coffee_cup,#N/A,coffee_cup.n.01,0,0
cup-kccqwj,1,cup,kccqwj,teacup,#N/A,teacup.n.02,0,0
cup-nbhcgu,1,cup,nbhcgu,coffee_cup,#N/A,coffee_cup.n.01,0,0
cup-qwoqqr,1,cup,qwoqqr,beaker,#N/A,beaker.n.02,0,0
cup-sfvswx,1,cup,sfvswx,beaker,#N/A,beaker.n.02,0,0
cup-siksnl,1,cup,siksnl,coffee_cup,#N/A,coffee_cup.n.01,0,0
cup-sstojv,1,cup,sstojv,beaker,#N/A,beaker.n.02,0,0
cup-tfzfam,1,cup,tfzfam,teacup,#N/A,teacup.n.02,0,0
cup-uzgibd,1,cup,uzgibd,beaker,#N/A,beaker.n.02,0,0
cup-xjdyon,1,cup,xjdyon,coffee_cup,#N/A,coffee_cup.n.01,0,0
fence-czawic,1,fence,czawic,rail_fence,#N/A,rail_fence.n.01,0,0
fence-jayfuh,1,fence,jayfuh,rail_fence,#N/A,rail_fence.n.01,0,0
fence-nmmzqh,1,fence,nmmzqh,rail_fence,#N/A,rail_fence.n.01,0,0
fence-nrcmie,1,fence,nrcmie,rail_fence,#N/A,rail_fence.n.01,0,0
fence-vjfdnl,1,fence,vjfdnl,rail_fence,#N/A,rail_fence.n.01,0,0
fence-wcocar,1,fence,wcocar,rail_fence,#N/A,rail_fence.n.01,0,0
fence-owbrvb,1,fence,owbrvb,rail_fence,#N/A,rail_fence.n.01,0,0
fence-cfcgtl,1,fence,cfcgtl,rail_fence,#N/A,rail_fence.n.01,0,0
